"Site_Type"	"Project_ID"	"Observation_ID"	"Observer_Code"	"Observation_Serial"	"Observation_Description"	"Observation_Label"	"Observation_Type"	"Latitude"	"Longitude"	"Error"	"Date"	"Prefix"	"Year"	"Mon"	"Day"	"Nation"	"State"	"County"	"Island"	"FIPS"	"Elevation"	"Community_Name"	"Community_Description"	"Structure"	"Landscape"	"Position"	"Aspect"	"Slope"	"PlotBearing"	"Map Unit"	"Soil Series"	"Soil Taxon"	"Drainage Class"	"Restriction_Depth"	"WT_Depth"	"MinWT_Depth"	"Soil_Notes"	"Litter_Cover"	"Snag_Count"	"Plot_Area_m"	"BA_Count"	"BA_Factor"	"Cowardin"	"HGM"	"Stratum1"	"Stratum2"	"Stratum3"	"Stratum4"	"Stratum5"	"Stratum6"	"Stratum7"	"Stratum8"	"Stratum9"	"Stratum10"	"Tree_Cover"	"Shrub_Cover"	"Herb_Cover"	"Moss_Cover"	"Aggregated_Overstory"	"Aggregated_Understory"	"Estimated_Understory"	"DWD_Hits1"	"DWD_Hits2"	"DWD_Hits3"	"DWD_Hits4"	"DWD_Hits5"	"Transect_Length"	"Log_Cover"	"Rock_Cover"	"Lichen_Cover"	"Water_Cover"	"MaxWater_Cover"	"DBH_lower"	"DBH_upper"	"Canopy_lower"	"Canopy_upper"
		"14"	"GRR.GJS"	0		"Buncombe County, North Carolina 559m #14"	"General"	35.69	-82.61	10.00	0		0	0	0	"USA"	"North Carolina"	"Buncombe County"		"37021"	559.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"15"	"GRR.GJS"	0		"Yancey County, North Carolina 1987m #15"	"General"	35.76	-82.26	10.00	0		0	0	0	"USA"	"North Carolina"	"Yancey County"		"37199"	1987.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"16"	"GRR.GJS"	0		"Sevier County, Tennessee 417m #16"	"General"	35.71	-83.50	10.00	0		0	0	0	"USA"	"Tennessee"	"Sevier County"			417.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"17"	"GRR.GJS"	0		"Sevier County, Tennessee 837m #17"	"General"	35.68	-83.47	10.00	0		0	0	0	"USA"	"Tennessee"	"Sevier County"			837.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"18"	"GRR.GJS"	0		"Sevier County, Tennessee 1642m #18"	"General"	35.66	-83.45	10.00	0		0	0	0	"USA"	"Tennessee"	"Sevier County"			1642.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"19"	"GRR.GJS"	0		"New Hanover County, North Carolina 12m #19"	"General"	34.11	-77.90	10.00	0		0	0	0	"USA"	"North Carolina"	"New Hanover County"			12.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"2"	"GRR.GJS"	0		"Coos County, New Hampshire 1809m #2"	"General"	44.26	-71.30	10.00	0		0	0	0	"USA"	"New Hampshire"	"Coos County"		"33007"	1809.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"20"	"GRR.GJS"	0		"Highlands County, Florida 40m #20"	"General"	27.20	-81.31	10.00	0		0	0	0	"USA"	"Florida"	"Highlands County"			40.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"21"	"GRR.GJS"	0		"Miami-Dade County, Florida 4m #21"	"General"	25.20	-80.74	10.00	0		0	0	0	"USA"	"Florida"	"Miami-Dade County"		"12086"	4.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"22"	"GRR.GJS"	0		"San Jacinto County, Texas 96m #22"	"General"	30.48	-95.20	10.00	0		0	0	0	"USA"	"Texas"	"San Jacinto County"			96.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"23"	"GRR.GJS"	0		"Perry County, Indiana 235m #23"	"General"	38.10	-86.59	10.00	0		0	0	0	"USA"	"Indiana"	"Perry County"			229.74						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"24"	"GRR.GJS"	0		"Hamilton County, Indiana 248m #24"	"General"	40.08	-85.94	10.00	0		0	0	0	"USA"	"Indiana"	"Hamilton County"		"18057"	247.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"25"	"GRR.GJS"	0		"McLean County, Illinois 256m #25"	"General"	40.46	-88.83	10.00	0		0	0	0	"USA"	"Illinois"	"McLean County"			256.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"26"	"GRR.GJS"	0		"Sauk County, Wisconsin 219m #26"	"General"	43.20	-90.15	10.00	0		0	0	0	"USA"	"Wisconsin"	"Sauk County"			219.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"27"	"GRR.GJS"	0		"Baraga County, Michigan 557m #27"	"General"	46.65	-88.19	10.00	0		0	0	0	"USA"	"Michigan"	"Baraga County"		"26013"	557.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"28"	"GRR.GJS"	0		"Cook County, Minnesota 540m #28"	"General"	47.73	-90.58	10.00	0		0	0	0	"USA"	"Minnesota"	"Cook County"		"27031"	540.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"29"	"GRR.GJS"	0		"Wexford County, Michigan 474m #29"	"General"	44.27	-85.63	10.00	0		0	0	0	"USA"	"Michigan"	"Wexford County"		"26165"	464.13						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"3"	"GRR.GJS"	0		"Ottawa County, Michigan 215m #3"	"General"	43.11	-86.26	10.00	0		0	0	0	"USA"	"Michigan"	"Ottawa County"		"26139"	196.23						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"30"	"GRR.GJS"	0		"Manistee County, Michigan 234m #30"	"General"	44.21	-85.99	10.00	0		0	0	0	"USA"	"Michigan"	"Manistee County"		"26101"	233.49						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"31"	"GRR.GJS"	0		"Otsego County, Michigan 448m #31"	"General"	45.10	-84.77	10.00	0		0	0	0	"USA"	"Michigan"	"Otsego County"		"26137"	440.39						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"32"	"GRR.GJS"	0		"Ogemaw County, Michigan 318m #32"	"General"	44.41	-84.12	10.00	0		0	0	0	"USA"	"Michigan"	"Ogemaw County"		"26129"	313.37						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"33"	"GRR.GJS"	0		"Oscoda County, Michigan 284m #33"	"General"	44.65	-84.08	10.00	0		0	0	0	"USA"	"Michigan"	"Oscoda County"		"26135"	278.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"34"	"GRR.GJS"	0		"Iosco County, Michigan 265m #34"	"General"	44.41	-83.71	10.00	0		0	0	0	"USA"	"Michigan"	"Iosco County"		"26069"	254.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"35"	"GRR.GJS"	0		"Mason County, Michigan 208m #35"	"General"	44.14	-86.39	10.00	0		0	0	0	"USA"	"Michigan"	"Mason County"			200.08						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"36"	"GRR.GJS"	0		"Allegan County, Michigan 210m #36"	"General"	42.55	-86.22	10.00	0		0	0	0	"USA"	"Michigan"	"Allegan County"		"26005"	201.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"37"	"GRR.GJS"	0		"Porter County, Indiana 193m #37"	"General"	41.64	-87.07	10.00	0		0	0	0	"USA"	"Indiana"	"Porter County"		"18127"	184.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"38"	"GRR.GJS"	0		"LaPorte County, Indiana 225m #38"	"General"	41.45	-86.89	10.00	0		0	0	0	"USA"	"Indiana"	"LaPorte County"		"18091"	224.07						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"39"	"GRR.GJS"	0		"Otoe County, Nebraska 355m #39"	"General"	40.65	-96.04	10.00	0		0	0	0	"USA"	"Nebraska"	"Otoe County"		"31131"	355.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"4"	"GRR.GJS"	0		"Oscoda County, Michigan 363m #4"	"General"	44.56	-84.10	10.00	0		0	0	0	"USA"	"Michigan"	"Oscoda County"		"26135"	359.26						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"40"	"GRR.GJS"	0		"Steele County, Minnesota 370m #40"	"General"	43.98	-93.20	10.00	0		0	0	0	"USA"	"Minnesota"	"Steele County"		"27147"	370.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"41"	"GRR.GJS"	0		"Coos County, New Hampshire 522m #41"	"General"	44.23	-71.42	10.00	0		0	0	0	"USA"	"New Hampshire"	"Coos County"			522.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"42"	"GRR.GJS"	0		"Coos County, New Hampshire 758m #42"	"General"	44.26	-71.35	10.00	0		0	0	0	"USA"	"New Hampshire"	"Coos County"			758.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"43"	"GRR.GJS"	0		"Coos County, New Hampshire 1114m #43"	"General"	44.26	-71.33	10.00	0		0	0	0	"USA"	"New Hampshire"	"Coos County"		"33007"	1114.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"44"	"GRR.GJS"	0		"Caledonia County, Vermont 173m #44"	"General"	44.41	-72.01	10.00	0		0	0	0	"USA"	"Vermont"	"Caledonia County"			173.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"45"	"GRR.GJS"	0		"Chittenden County, Vermont 37m #45"	"General"	44.38	-73.22	10.00	0		0	0	0	"USA"	"Vermont"	"Chittenden County"			37.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"46"	"GRR.GJS"	0		"Rutland County, Vermont 1230m #46"	"General"	43.60	-72.81	10.00	0		0	0	0	"USA"	"Vermont"	"Rutland County"			1230.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"47"	"GRR.GJS"	0		"Hampshire County, Massachusetts 37m #47"	"General"	42.34	-72.61	10.00	0		0	0	0	"USA"	"Massachusetts"	"Hampshire County"			37.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"48"	"GRR.GJS"	0		"Barnstable County, Massachusetts 11m #48"	"General"	41.72	-70.05	10.00	0		0	0	0	"USA"	"Massachusetts"	"Barnstable County"			11.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"49"	"GRR.GJS"	0		"Hancock County, Maine 25m #49"	"General"	44.25	-68.31	10.00	0		0	0	0	"USA"	"Maine"	"Hancock County"			25.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"5"	"GRR.GJS"	0		"Chippewa County, Michigan 183m #5"	"General"	46.76	-84.98	10.00	0		0	0	0	"USA"	"Michigan"	"Chippewa County"			183.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"50"	"GRR.GJS"	0		"Suffolk County, New York 10m #50"	"General"	40.71	-73.27	10.00	0		0	0	0	"USA"	"New York"	"Suffolk County"			10.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"51"	"GRR.GJS"	0		"Essex County, New York 1563m #51"	"General"	44.11	-73.92	10.00	0		0	0	0	"USA"	"New York"	"Essex County"			1563.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"52"	"GRR.GJS"	0		"Franklin County, New York 497m #52"	"General"	44.23	-74.45	10.00	0		0	0	0	"USA"	"New York"	"Franklin County"		"36033"	497.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"53"	"GRR.GJS"	0		"Oneida County, New York 144m #53"	"General"	43.17	-75.55	10.00	0		0	0	0	"USA"	"New York"	"Oneida County"			144.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"54"	"GRR.GJS"	0		"Madison County, Virginia 1135m #54"	"General"	38.58	-78.37	10.00	0		0	0	0	"USA"	"Virginia"	"Madison County"			1135.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"55"	"GRR.GJS"	0		"Page County, Virginia 784m #55"	"General"	38.59	-78.38	10.00	0		0	0	0	"USA"	"Virginia"	"Page County"			784.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"56"	"GRR.GJS"	0		"Page County, Virginia 392m #56"	"General"	38.61	-78.40	10.00	0		0	0	0	"USA"	"Virginia"	"Page County"			392.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"57"	"GRR.GJS"	0		"Page County, Virginia 249m #57"	"General"	38.64	-78.46	10.00	0		0	0	0	"USA"	"Virginia"	"Page County"			249.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"58"	"GRR.GJS"	0		"Stafford County, Virginia 54m #58"	"General"	38.38	-77.42	10.00	0		0	0	0	"USA"	"Virginia"	"Stafford County"			54.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"59"	"GRR.GJS"	0		"Pocahontas County, West Virginia 1301m #59"	"General"	38.58	-79.75	10.00	0		0	0	0	"USA"	"West Virginia"	"Pocahontas County"		"54075"	1301.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"6"	"GRR.GJS"	0		"Keweenaw County, Michigan 222m #6"	"General"	48.09	-88.64	10.00	0		0	0	0	"USA"	"Michigan"	"Keweenaw County"	"Isle Royale"	"26083"	222.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"60"	"GRR.GJS"	0		"Transylvania County, North Carolina 911m #60"	"General"	35.14	-82.70	10.00	0		0	0	0	"USA"	"North Carolina"	"Transylvania County"			911.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"61"	"GRR.GJS"	0		"Greenville County, South Carolina 498m #61"	"General"	35.08	-82.65	10.00	0		0	0	0	"USA"	"South Carolina"	"Greenville County"			498.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"62"	"GRR.GJS"	0		"Pickens County, South Carolina 311m #62"	"General"	35.03	-82.63	10.00	0		0	0	0	"USA"	"South Carolina"	"Pickens County"		"45077"	311.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"63"	"GRR.GJS"	0		"Anderson County, South Carolina 304m #63"	"General"	34.77	-82.48	10.00	0		0	0	0	"USA"	"South Carolina"	"Anderson County"		"45007"	304.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"64"	"GRR.GJS"	0		"McDowell County, North Carolina 389m #64"	"General"	35.69	-82.04	10.00	0		0	0	0	"USA"	"North Carolina"	"McDowell County"			389.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"65"	"GRR.GJS"	0		"York County, South Carolina 180m #65"	"General"	35.03	-81.05	10.00	0		0	0	0	"USA"	"South Carolina"	"York County"			180.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"66"	"GRR.GJS"	0		"Liberty County, Florida 85m #66"	"General"	30.54	-84.92	10.00	0		0	0	0	"USA"	"Florida"	"Liberty County"			85.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"67"	"GRR.GJS"	0		"Gulf County, Florida 3m #67"	"General"	29.70	-85.29	10.00	0		0	0	0	"USA"	"Florida"	"Gulf County"		"12045"	3.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"68"	"GRR.GJS"	0		"Davidson County, Tennessee 166m #68"	"General"	36.13	-86.72	10.00	0		0	0	0	"USA"	"Tennessee"	"Davidson County"		"47037"	166.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"69"	"GRR.GJS"	0		"Pearl River County, Mississippi 68m #69"	"General"	30.77	-89.59	10.00	0		0	0	0	"USA"	"Mississippi"	"Pearl River County"		"28109"	68.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"7"	"GRR.GJS"	0		"San Francisco County, California 40m #7"	"General"	37.76	-122.50	10.00	0		0	0	0	"USA"	"California"	"San Francisco County"			40.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"70"	"GRR.GJS"	0		"Boulder County, Colorado 1613m #70"	"General"	40.00	-105.24	10.00	0		0	0	0	"USA"	"Colorado"	"Boulder County"			1613.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"71"	"GRR.GJS"	0		"Boulder County, Colorado 2007m #71"	"General"	40.01	-105.35	10.00	0		0	0	0	"USA"	"Colorado"	"Boulder County"			2007.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"72"	"GRR.GJS"	0		"Boulder County, Colorado 2621m #72"	"General"	40.01	-105.46	10.00	0		0	0	0	"USA"	"Colorado"	"Boulder County"		"08013"	2621.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"73"	"GRR.GJS"	0		"Boulder County, Colorado 3179m #73"	"General"	40.01	-105.58	10.00	0		0	0	0	"USA"	"Colorado"	"Boulder County"			3179.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"74"	"GRR.GJS"	0		"Boulder County, Colorado 3668m #74"	"General"	40.01	-105.68	10.00	0		0	0	0	"USA"	"Colorado"	"Boulder County"		"08013"	3668.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"75"	"GRR.GJS"	0		"Cochise County, Arizona 2917m #75"	"General"	31.85	-109.28	10.00	0		0	0	0	"USA"	"Arizona"	"Cochise County"			2917.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"76"	"GRR.GJS"	0		"Cochise County, Arizona 2229m #76"	"General"	31.85	-109.31	10.00	0		0	0	0	"USA"	"Arizona"	"Cochise County"			2229.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"77"	"GRR.GJS"	0		"Cochise County, Arizona 1818m #77"	"General"	31.86	-109.37	10.00	0		0	0	0	"USA"	"Arizona"	"Cochise County"			1818.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"78"	"GRR.GJS"	0		"Cochise County, Arizona 1530m #78"	"General"	31.85	-109.47	10.00	0		0	0	0	"USA"	"Arizona"	"Cochise County"			1530.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"79"	"GRR.GJS"	0		"Cochise County, Arizona 1265m #79"	"General"	31.70	-109.72	10.00	0		0	0	0	"USA"	"Arizona"	"Cochise County"			1265.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"8"	"GRR.GJS"	0		"Tulare County, California 2597m #8"	"General"	36.52	-118.40	10.00	0		0	0	0	"USA"	"California"	"Tulare County"		"06107"	2597.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"80"	"GRR.GJS"	0		"Yuma County, Arizona 139m #80"	"General"	32.83	-113.48	10.00	0		0	0	0	"USA"	"Arizona"	"Yuma County"		"04027"	139.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
		"81"	"GRR.GJS"	0		"Coconino County, Arizona 2776m #81"	"General"	36.32	-112.06	10.00	0		0	0	0	"USA"	"Arizona"	"Coconino County"			2776.00						0	0						500.00	500.00										"0.1"	"0.5"	"0.5"	"2"	"5"	"5"	"10"	"20"	"35"	"50"																						
