Observation_Label	Observation_Type	Latitude	Longitude	Year	Mon	Day	State	County
Sandy Outwash Plain	General	43.24831278	-86.12099972	2011	09	28	Michigan	Muskegon County
MM01.02	Low Intensity Plot: Cover	42.97938333	-85.83063333	2012	04	16	Michigan	Ottawa County
S12042504	Low Intensity Plot: Cover	42.9897	-86.06925	2012	04	25	Michigan	Ottawa County
S12042505	Low Intensity Plot: Cover	42.98533333	-86.07953333	2012	04	25	Michigan	Ottawa County
S12042601	Low Intensity Plot: Cover	42.59465	-85.94333333	2012	04	26	Michigan	Allegan County
S12050801	Low Intensity Plot: Cover	42.89133333	-86.05148333	2012	05	08	Michigan	Ottawa County
S12051101	Low Intensity Plot: Cover	42.95096667	-85.8828	2012	05	11	Michigan	Ottawa County
S12051102	Low Intensity Plot: Cover	42.953	-85.88123333	2012	05	11	Michigan	Ottawa County
S12051103	Low Intensity Plot: Cover	42.95238423	-85.8815	2012	05	11	Michigan	Ottawa County
S12051801	Low Intensity Plot: Cover	40.84726667	-87.04686667	2012	05	18	Indiana	White County
S12052301	Low Intensity Plot: Cover	42.97208333	-86.13405	2012	05	23	Michigan	Ottawa County
S12052302	Low Intensity Plot: Cover	42.98376667	-86.06975	2012	05	23	Michigan	Ottawa County
MM01.A	Low Intensity Plot: Cover	42.97975	-85.8368	2012	04	16	Michigan	Ottawa County
S12052401	Low Intensity Plot: Cover	43.29635	-85.357	2012	05	24	Michigan	Montcalm County
S12052402	Low Intensity Plot: Cover	43.29916667	-85.35646667	2012	05	24	Michigan	Montcalm County
S12052403	Low Intensity Plot: Cover	43.14119444	-85.19380556	2012	05	24	Michigan	Montcalm County
S12053101	Low Intensity Plot: Cover	43.01815	-85.62688333	2012	05	31	Michigan	Kent County
S12060401	Low Intensity Plot: Cover	42.98686667	-85.3594	2012	06	04	Michigan	Kent County
S12060402	Low Intensity Plot: Cover	42.92816667	-85.28675	2012	06	04	Michigan	Ionia County
S12060501	Low Intensity Plot: Cover	42.87791667	-85.32381667	2012	06	05	Michigan	Kent County
S12060502	Low Intensity Plot: Cover	42.77103333	-85.62341667	2012	06	05	Michigan	Kent County
S12060503	Low Intensity Plot: Cover	42.77081667	-85.62336667	2012	06	05	Michigan	Kent County
S12061301	Low Intensity Plot: Cover	41.70791667	-86.60746667	2012	06	13	Indiana	LaPorte County
MM01.01	Low Intensity Plot: Cover	42.976745	-85.836789	2012	04	16	Michigan	Ottawa County
S12061302	Low Intensity Plot: Cover	41.75141667	-86.4046	2012	06	13	Indiana	Saint Joseph County
S12060701	Low Intensity Plot: Cover	42.34765	-86.00471667	2012	06	07	Michigan	Van Buren County
S12060702	Low Intensity Plot: Cover	42.33891667	-86.02008333	2012	06	07	Michigan	Van Buren County
S12060703	Low Intensity Plot: Cover	42.33923333	-86.01951667	2012	06	07	Michigan	Van Buren County
S12062501	Low Intensity Plot: Cover	42.77011667	-84.38518333	2012	06	25	Michigan	Clinton County
S12062502	Low Intensity Plot: Cover	42.7701	-84.38521667	2012	06	25	Michigan	Clinton County
S12062503	Low Intensity Plot: Cover	42.79506667	-84.38263333	2012	06	25	Michigan	Clinton County
S12062504	Low Intensity Plot: Cover	42.7957	-84.3822	2012	06	25	Michigan	Clinton County
S12062801	Low Intensity Plot: Cover	42.50748333	-85.71011667	2012	06	28	Michigan	Allegan County
S12062802	Low Intensity Plot: Cover	42.50736667	-85.7103	2012	06	28	Michigan	Allegan County
ML18.04	Low Intensity Plot: Cover	42.56515	-86.02086667	2012	04	19	Michigan	Allegan County
S12062901	Low Intensity Plot: Cover	42.49195	-85.83363333	2012	06	29	Michigan	Allegan County
S12062902	Low Intensity Plot: Cover	42.49731667	-85.82331667	2012	06	29	Michigan	Allegan County
S12062903	Low Intensity Plot: Cover	42.49621667	-85.82578333	2012	06	29	Michigan	Allegan County
S12070201	Low Intensity Plot: Cover	42.00826667	-85.96568333	2012	07	02	Michigan	Cass County
S12070202	Low Intensity Plot: Cover	42.00786667	-85.96676667	2012	07	02	Michigan	Cass County
S12070203	Low Intensity Plot: Cover	41.99836667	-85.95995	2012	07	02	Michigan	Cass County
S12071301	Low Intensity Plot: Cover	42.27313333	-86.04176667	2012	07	13	Michigan	Van Buren County
S12092504	Low Intensity Plot: Cover	42.73116667	-85.4295	2012	09	25	Michigan	Barry County
S12092601	Low Intensity Plot: Cover	42.85515	-85.85046667	2012	09	26	Michigan	Ottawa County
S12092602	Low Intensity Plot: Cover	42.85495	-85.84948333	2012	09	26	Michigan	Ottawa County
ML18.09	Low Intensity Plot: Cover	42.50761667	-86.00718333	2012	04	19	Michigan	Allegan County
S12092501	Low Intensity Plot: Cover	42.72835	-85.42823333	2012	09	25	Michigan	Barry County
S12092502	Low Intensity Plot: Cover	42.72858333	-85.42866667	2012	09	25	Michigan	Barry County
S12092503	Low Intensity Plot: Cover	42.73031667	-85.4284	2012	09	25	Michigan	Barry County
S12092603	Low Intensity Plot: Cover	42.85481667	-85.84976667	2012	09	26	Michigan	Ottawa County
S12092604	Low Intensity Plot: Cover	42.85456667	-85.84981667	2012	09	26	Michigan	Ottawa County
S12090701	Low Intensity Plot: Cover	43.24295	-85.8292	2012	09	07	Michigan	Muskegon County
S12090702	Low Intensity Plot: Cover	43.06405	-85.7878	2012	09	07	Michigan	Kent County
S12090703	Low Intensity Plot: Cover	43.0639	-85.78731667	2012	09	07	Michigan	Ottawa County
S12091904	Low Intensity Plot: Cover	43.08603333	-86.07131667	2012	09	19	Michigan	Ottawa County
S12092001	Low Intensity Plot: Cover	43.05323333	-86.06753333	2012	09	20	Michigan	Ottawa County
S12042301	Low Intensity Plot: Cover	42.9071	-85.99055	2012	04	23	Michigan	Ottawa County
S12092002	Low Intensity Plot: Cover	43.05006667	-86.07066667	2012	09	20	Michigan	Ottawa County
S12091901	Low Intensity Plot: Cover	43.08495	-86.0686	2012	09	20	Michigan	Ottawa County
S12091902	Low Intensity Plot: Cover	43.08503333	-86.06953333	2012	09	19	Michigan	Ottawa County
S12091903	Low Intensity Plot: Cover	43.08561667	-86.07005	2012	09	19	Michigan	Ottawa County
S12082801	Low Intensity Plot: Cover	43.42906667	-86.35321667	2012	08	28	Michigan	Muskegon County
S12071001	Low Intensity Plot: Cover	42.6296	-85.84355	2012	07	10	Michigan	Allegan County
S12071002	Low Intensity Plot: Cover	42.47391667	-85.7706	2012	07	10	Michigan	Allegan County
S12071302	Low Intensity Plot: Cover	42.27726667	-86.04225	2012	07	13	Michigan	Van Buren County
S12071303	Low Intensity Plot: Cover	42.277	-86.039	2012	07	13	Michigan	Van Buren County
S12071304	Low Intensity Plot: Cover	42.28095	-86.03658333	2012	07	13	Michigan	Van Buren County
S12042501	Low Intensity Plot: Cover	43.00513333	-86.06356667	2012	04	25	Michigan	Ottawa County
S12061201	Low Intensity Plot: Cover	42.95963333	-85.7913	2012	06	12	Michigan	Ottawa County
S12050802	Low Intensity Plot: Cover	42.89125	-86.05183333	2012	05	08	Michigan	Ottawa County
S12050803	Low Intensity Plot: Cover	42.89113333	-86.05183333	2012	05	08	Michigan	Ottawa County
MM11.02	Low Intensity Plot: Cover	41.878	-86.45928333	2012	05	03	Michigan	Berrien County
MM11.01	Low Intensity Plot: Cover	41.87768333	-86.46333333	2012	05	03	Michigan	Berrien County
S12042502	Low Intensity Plot: Cover	42.98805	-86.06981667	2012	04	25	Michigan	Ottawa County
S12042503	Low Intensity Plot: Cover	42.98881667	-86.06905	2012	04	25	Michigan	Ottawa County
Blandford Ravine	Floristic	42.99501208	-85.74268598	2013	05	31	Michigan	Kent County
S13070909	Low Intensity Plot: Cover	42.52943333	-86.04826667	2013	07	09	Michigan	Allegan County
S13070910	Low Intensity Plot: Cover	42.52851667	-86.04901667	2013	07	09	Michigan	Allegan County
S13070911	Low Intensity Plot: Cover	42.52763333	-86.05031667	2013	07	09	Michigan	Allegan County
S13070912	Low Intensity Plot: Cover	42.5272	-86.05076667	2013	07	09	Michigan	Allegan County
S13071001	Low Intensity Plot: Cover	42.65628333	-85.9046	2013	07	10	Michigan	Allegan County
S13071101	Low Intensity Plot: Cover	43.30553333	-85.92723333	2013	07	11	Michigan	Newaygo County
S13071102	Low Intensity Plot: Cover	43.30285	-85.931	2013	07	11	Michigan	Newaygo County
S13071103	Low Intensity Plot: Cover	43.2968	-85.96681667	2013	07	11	Michigan	Newaygo County
S13071104	Low Intensity Plot: Cover	43.28915	-85.96728333	2013	07	11	Michigan	Muskegon County
S13071201	Low Intensity Plot: Cover	42.62678333	-85.9488	2013	07	12	Michigan	Allegan County
S13070901	Low Intensity Plot: Cover	42.53531667	-86.04693333	2013	07	09	Michigan	Allegan County
S13071202	Low Intensity Plot: Cover	42.62613333	-85.95281667	2013	07	12	Michigan	Allegan County
S13071203	Low Intensity Plot: Cover	42.62613333	-85.95118333	2013	07	12	Michigan	Allegan County
W14090809	Wetland Determination	43.12701667	-85.89461667	2014	09	08	Michigan	Ottawa County
Kalamazoo4	Low Intensity Plot: Cover	42.17458333	-85.4874	2014	04	22	Michigan	Kalamazoo County
SI: red maple 01	Site Index	42.52853333	-86.05021667	2014	04	08	Michigan	Allegan County
SI: pin oak 01	Site Index	42.5292	-86.0505	2014	04	10	Michigan	Allegan County
SI: red oak & red maple 02	Site Index	42.53036667	-86.05093333	2014	04	11	Michigan	Allegan County
SI: pin oak2 01	Site Index	42.53036667	-86.05093333	2014	04	12	Michigan	Allegan County
W2015060903	Wetland Determination	43.08493333	-86.01723333	2015	06	09		
W2015061704	Wetland Determination	42.73455	-84.92628333	2015	06	17		
S2015062501	Wetland Determination	43.1293	-85.43801667	2015	06	25		
W2015062501	Wetland Determination	43.13016667	-85.43741667	2015	06	25		
W2015062502	Wetland Determination	43.1287	-85.43336667	2015	06	25		
W2015062503	Wetland Determination	43.12646667	-85.43143333	2015	06	25		
W2015062504	Wetland Determination	43.12973333	-85.43285	2015	06	25		
W2015062505	Wetland Determination	43.1298	-85.43481667	2015	06	25		
W2015062506	Wetland Determination	43.12691667	-85.43535	2015	06	25		
W2015062507	Wetland Determination	43.13905556	-85.43558889	2015	06	25		
W2015062508	Wetland Determination	43.13965	-85.4359	2015	06	25		
S2015060901	Wetland Determination	43.08563333	-86.01796667	2015	06	09		
DSP RF1	High Intensity Plot: Nested	42.63008333	-85.5067	2015	05	19	Michigan	Barry County
DSP RF3	High Intensity Plot: Nested	42.7937	-84.38381667	2015	05	27	Michigan	Clinton County
DSP RF2	High Intensity Plot: Nested	43.18406675	-85.34212492	2015	06	04	Michigan	Kent County
Page Creek Fen	High Intensity Plot: Nested	42.98656667	-85.36145	2015	07	08	Michigan	Kent County
S13071204	Low Intensity Plot: Cover	42.6253	-85.95085	2013	07	12	Michigan	Allegan County
S13071205	Low Intensity Plot: Cover	42.62695473	-85.96046238	2013	07	12	Michigan	Allegan County
S13071601	Low Intensity Plot: Cover	42.527	-86.04806667	2013	07	16	Michigan	Allegan County
S13071602	Low Intensity Plot: Cover	42.52499205	-86.04905282	2013	07	16	Michigan	Allegan County
S13071701	Hybrid Line-Point-Intercept Plot	42.52901667	-86.04985	2013	07	17	Michigan	Allegan County
S13071801	Line-Point-Intercept Plot	42.53091667	-86.04928333	2013	07	18	Michigan	Allegan County
S13072301	Line-Point-Intercept Plot	43.30453333	-85.92895	2013	07	23	Michigan	Newaygo County
S13072302	Line-Point-Intercept Plot	43.3048	-85.92868333	2013	07	23	Michigan	Newaygo County
S13070902	Low Intensity Plot: Cover	42.53473333	-86.04663333	2013	07	09	Michigan	Allegan County
s13072901	Low Intensity Plot: Cover	41.72633333	-86.8124	2013	07	29	Indiana	LaPorte County
s13072902	Low Intensity Plot: Cover	41.72675	-86.81236667	2013	07	29	Indiana	LaPorte County
s13072903	Low Intensity Plot: Cover	41.72668333	-86.81181667	2013	07	29	Indiana	LaPorte County
s13072904	Low Intensity Plot: Cover	41.72716667	-86.81183333	2013	07	29	Indiana	LaPorte County
s13072905	Low Intensity Plot: Cover	41.72761667	-86.81126667	2013	07	29	Indiana	LaPorte County
s13072906	Low Intensity Plot: Cover	41.73166667	-86.80513333	2013	07	29	Indiana	LaPorte County
s13072907	Low Intensity Plot: Cover	41.73073333	-86.80513333	2013	07	29	Indiana	LaPorte County
s13072908	Low Intensity Plot: Cover	41.72981667	-86.80521667	2013	07	29	Indiana	LaPorte County
s13072909	Low Intensity Plot: Cover	41.72805	-86.80751667	2013	07	29	Indiana	LaPorte County
S13080701	Line-Point-Intercept Plot	41.72781667	-86.81085	2013	08	07	Indiana	LaPorte County
S13070903	Low Intensity Plot: Cover	42.5339	-86.04653333	2013	07	09	Michigan	Allegan County
S13081201	Line-Point-Intercept Plot	41.72773333	-86.81001667	2013	08	12	Indiana	LaPorte County
Blandford West	Floristic	0	0	2013	06	01		
West Meadow	Floristic	0	0	2013	06	01		
Blandford West - Justin	Floristic	0	0	2013	06	01		
Heron Meadow - Justin	Floristic	0	0	2013	06	01		
S13070904	Low Intensity Plot: Cover	42.53301667	-86.0463	2013	07	09	Michigan	Allegan County
S13070905	Low Intensity Plot: Cover	42.5321	-86.04651667	2013	07	09	Michigan	Allegan County
S13070906	Low Intensity Plot: Cover	42.53121667	-86.0466	2013	07	09	Michigan	Allegan County
S13070907	Low Intensity Plot: Cover	42.53021667	-86.04678333	2013	07	09	Michigan	Allegan County
S13070908	Low Intensity Plot: Cover	42.53031667	-86.04785	2013	07	09	Michigan	Allegan County
S14060201	Medium Intensity Plot: Strata	42.392	-86.13621667	2014	06	02	Michigan	Van Buren County
S14060202	Medium Intensity Plot: Strata	42.12805	-86.3517	2014	06	02	Michigan	Berrien County
S14061002	Medium Intensity Plot: Strata	43.29986111	-85.98288889	2014	06	10	Michigan	Newaygo County
S14061001	Medium Intensity Plot: Strata	43.30122222	-85.98163889	2014	06	10	Michigan	Muskegon County
S14060601	Medium Intensity Plot: Strata	43.30211111	-86.155	2014	06	06	Michigan	Muskegon County
S14060602	Medium Intensity Plot: Strata	43.30452778	-86.14872222	2014	06	06	Michigan	Muskegon County
S14061901	High Intensity Plot: Nested	42.60688333	-86.03801667	2014	06	19	Michigan	Allegan County
S14061902	High Intensity Plot: Nested	42.60766667	-86.03701667	2014	06	19	Michigan	Allegan County
S14062401	High Intensity Plot: Nested	42.59705	-85.99786667	2014	06	24	Michigan	Allegan County
S14062501	Medium Intensity Plot: Strata	42.60065	-85.98986667	2014	06	25	Michigan	Allegan County
Kalamazoo1	Low Intensity Plot: Cover	42.17528333	-85.48663333	2014	04	22	Michigan	Kalamazoo County
S14062601	High Intensity Plot: Nested	42.60796667	-86.02283333	2014	06	26	Michigan	Allegan County
S14070202	High Intensity Plot: Nested	42.58598333	-85.9515	2014	07	02	Michigan	Allegan County
S14070203	Medium Intensity Plot: Strata	42.58608333	-85.96768333	2014	07	02	Michigan	Allegan County
S14070201	Medium Intensity Plot: Strata	42.58338333	-85.95156667	2014	07	02	Michigan	Allegan County
S14071501	High Intensity Plot: Nested	43.29833333	-86.01183333	2014	07	15	Michigan	Muskegon County
S14071502	High Intensity Plot: Nested	43.29926667	-86.00778333	2014	07	15	Michigan	Muskegon County
S14071701	High Intensity Plot: Nested	43.0362	-86.12076667	2014	07	17	Michigan	Ottawa County
S14080601	High Intensity Plot: Nested	42.98811667	-86.06998333	2014	08	06	Michigan	Ottawa County
W14081201	Wetland Determination	43.18787	-85.839401	2014	08	12	Michigan	Ottawa County
S14081301	Low Intensity Plot: Cover	42.99913333	-86.10361667	2014	08	13	Michigan	Ottawa County
Kalamazoo2	Low Intensity Plot: Cover	42.17541667	-85.48698333	2014	04	22	Michigan	Kalamazoo County
S14081302	Low Intensity Plot: Cover	42.99875	-86.10316667	2014	08	13	Michigan	Ottawa County
S14081303	Low Intensity Plot: Cover	43.00186667	-86.1663	2014	08	13	Michigan	Ottawa County
S14081304	Low Intensity Plot: Cover	43.1478	-86.08371667	2014	08	13	Michigan	Muskegon County
S14081305	Low Intensity Plot: Cover	43.17866667	-86.06325	2014	08	13	Michigan	Muskegon County
S14081306	Low Intensity Plot: Cover	43.17976667	-86.06378333	2014	08	13	Michigan	Muskegon County
W14081401	Wetland Determination	43.17963333	-85.46136667	2014	08	14	Michigan	Kent County
W14081402	Wetland Determination	43.18803333	-85.84195	2014	08	14	Michigan	Ottawa County
W14081403	Wetland Determination	43.1872	-85.8439	2014	08	14	Michigan	Ottawa County
W14081404	Wetland Determination	43.1875	-85.8438	2014	08	14	Michigan	Ottawa County
W14090801	Wetland Determination	43.12838333	-85.90568333	2014	09	08	Michigan	Ottawa County
Kalamazoo3	Low Intensity Plot: Cover	42.17546667	-85.4875	2014	04	22	Michigan	Kalamazoo County
W14090802	Wetland Determination	43.12815	-85.90443333	2014	09	08	Michigan	Ontonagon County
W14090803	Wetland Determination	43.1264	-85.9004	2014	09	08	Michigan	Ottawa County
W14090804	Wetland Determination	43.12634823	-85.89839883	2014	09	08	Michigan	Ottawa County
W14090805	Wetland Determination	43.12706667	-85.8986	2014	09	08	Michigan	Ottawa County
W14090806	Wetland Determination	43.12672801	-85.89851685	2014	09	08	Michigan	Ottawa County
W14090807	Wetland Determination	43.12721667	-85.8954	2014	09	08	Michigan	Ottawa County
W14090808	Wetland Determination	43.12711667	-85.8954	2014	09	08	Michigan	Ottawa County
Lamberton Lake Fen	High Intensity Plot: Nested	43.03601667	-85.6278	2015	07	20	Michigan	Kent County
DSP RR1	High Intensity Plot: Nested	43.25588333	-85.1605	2015	07	29	Michigan	Montcalm County
DSP ER2	High Intensity Plot: Nested	43.30398333	-85.75971667	2015	07	31	Michigan	Newaygo County
DSP ER1	High Intensity Plot: Nested	42.74583333	-85.17444444	2015	08	05	Michigan	Barry County
DSP ER3	High Intensity Plot: Nested	42.52472222	-84.88138889	2015	08	07	Michigan	Eaton County
DSP RR2	High Intensity Plot: Nested	43.54433333	-85.18218333	2015	08	14	Michigan	Mecosta County
W2015060904	Wetland Determination	43.08688333	-86.01838333	2015	06	09		
DSP RR3	High Intensity Plot: Nested	42.68136667	-84.7211	2015	08	12	Michigan	Eaton County
W2015060905	Wetland Determination	43.08748333	-86.01968333	2015	06	09		
W2015060906	Wetland Determination	43.08616667	-86.0201	2015	06	09		
S2015061701	Wetland Determination	42.73573333	-84.92828333	2015	06	17		
W2015061701	Wetland Determination	42.73613333	-84.92825	2015	06	17		
W2015061702	Wetland Determination	42.73705	-84.92751667	2015	06	17		
W2015061703	Wetland Determination	42.73516667	-84.9265	2015	06	17		
2016MI067001	Low Intensity Plot: Cover	42.79301667	-84.8636	2016	06	02	Michigan	Ionia County
2016MI067002	Low Intensity Plot: Cover	42.7937	-84.86283333	2016	06	02	Michigan	Ionia County
2016MI067003	Low Intensity Plot: Cover	42.78951667	-84.86313333	2016	06	02	Michigan	Ionia County
2016MI067004	Low Intensity Plot: Cover	42.80811667	-84.94056667	2016	06	08	Michigan	Ionia County
2016MI067005	Low Intensity Plot: Cover	42.80781667	-84.94491667	2016	06	08	Michigan	Ionia County
2016MI067006	Low Intensity Plot: Cover	42.80793333	-84.94391667	2016	06	08	Michigan	Ionia County
2016MI067007	Low Intensity Plot: Cover	42.80766667	-84.94371667	2016	06	08	Michigan	Ionia County
2016MI081006	Low Intensity Plot: Cover	43.02416667	-85.4987	2016	06	10	Michigan	Kent County
2016MI081007	Low Intensity Plot: Cover	43.02461667	-85.49881667	2016	06	10	Michigan	Kent County
2016MI149001	Low Intensity Plot: Cover	41.902	-85.65771667	2016	06	14	Michigan	Saint Joseph County
farm field	Wetland Determination	43.2418	-85.63085	2016	08	24	Michigan	Kent County
S2016MI149002	EPA	41.7897	-85.69176667	2016	06	27	Michigan	Saint Joseph County
2016MI037001	Low Intensity Plot: Cover	43.08543333	-84.76531667	2016	07	06	Michigan	Clinton County
2016MI037002	Low Intensity Plot: Cover	43.08478333	-84.76545	2016	07	06	Michigan	Clinton County
2016MI065001	Low Intensity Plot: Cover	42.717777	-84.4735	2016	07	14	Michigan	Ingham County
2016MI065002	Low Intensity Plot: Cover	42.71408333	-84.47358333	2016	07	14	Michigan	Ingham County
2016MI023001	Low Intensity Plot: Cover	41.97513333	-85.06153333	2016	07	27	Michigan	Branch County
2016MI023002	Low Intensity Plot: Cover	41.87676667	-85.0609	2016	07	27	Michigan	Branch County
2016MI059001	Low Intensity Plot: Cover	42.00791667	-84.6943	2016	08	03	Michigan	Hillsdale County
2016MI059002	Low Intensity Plot: Cover	42.00813333	-84.69406667	2016	08	03	Michigan	Hillsdale County
2016MI059003	Low Intensity Plot: Cover	42.00746667	-84.69458333	2016	08	03	Michigan	Hillsdale County
Woodland	Wetland Determination	43.2418	-85.63085	2016	08	24	Michigan	Kent County
2016MI067008	Low Intensity Plot: Cover	42.7926	-84.99458333	2016	08	08	Michigan	Ionia County
2016MI067009	Low Intensity Plot: Cover	42.79323333	-84.99375	2016	08	08	Michigan	Ionia County
2016MI067010	Low Intensity Plot: Cover	43.04698333	-85.21718333	2016	08	08	Michigan	Ionia County
2016MI067011	Low Intensity Plot: Cover	43.04603333	-85.21798333	2016	08	08	Michigan	Ionia County
2016MI045001	Low Intensity Plot: Cover	42.46416667	-84.99818333	2016	08	10	Michigan	Eaton County
2016MI045002	Low Intensity Plot: Cover	42.46488333	-84.998	2016	08	10	Michigan	Eaton County
2016MI005001	Low Intensity Plot: Cover	42.62631667	-85.71511667	2016	08	17	Michigan	Allegan County
2016MI005002	Low Intensity Plot: Cover	42.62728333	-85.71508333	2016	08	17	Michigan	Allegan County
2016MI005003	Low Intensity Plot: Cover	42.62685	-85.71316667	2016	08	17	Michigan	Allegan County
2016IN087001	Low Intensity Plot: Cover	41.75316667	-85.41283333	2016	08	18	Indiana	LaGrange County
	Wetland Determination	0	0	2016	10	05		
2016MI139001	Low Intensity Plot: Cover	42.94438333	-86.11793333	2016	08	23	Michigan	Ottawa County
2016MI139002	Low Intensity Plot: Cover	42.94366667	-86.11698333	2016	08	23	Michigan	Ottawa County
2016MI005004	Low Intensity Plot: Cover	42.62908333	-85.68271667	2016	08	25	Michigan	Allegan County
2016MI005005	Low Intensity Plot: Cover	42.6278	-85.68375	2016	08	25	Michigan	Allegan County
2016MI005006	Low Intensity Plot: Cover	42.62843333	-85.6846	2016	08	25	Michigan	Allegan County
2016MI005007	Low Intensity Plot: Cover	42.62736667	-85.68708333	2016	08	25	Michigan	Allegan County
2016MI005008	Low Intensity Plot: Cover	42.62776667	-85.68558333	2016	08	25	Michigan	Allegan County
2016MI075001	Low Intensity Plot: Cover	42.26136667	-84.52511667	2016	09	01	Michigan	Jackson County
2016MI075002	Low Intensity Plot: Cover	42.26	-84.52926667	2016	09	01	Michigan	Jackson County
2016MI075003	Low Intensity Plot: Cover	42.259724	-84.529167	2016	09	01	Michigan	Jackson County
	Wetland Determination	0	0	2016	10	05	Michigan	Jackson County
2016MI081008	Low Intensity Plot: Cover	43.2387	-85.53851667	2016	09	06	Michigan	Kent County
2016MI081009	Low Intensity Plot: Cover	43.2402	-85.54001667	2016	09	06	Michigan	Kent County
2016MI081010	Low Intensity Plot: Cover	43.24128333	-85.54071667	2016	09	06	Michigan	Kent County
2016MI081011	Low Intensity Plot: Cover	43.2411	-85.53925	2016	09	06	Michigan	Kent County
2016MI081012	Low Intensity Plot: Cover	43.05063333	-85.7354	2016	09	06	Michigan	Kent County
S2016MI105001	EPA	44.14343333	-86.31741667	2016	09	14	Michigan	Mason County
2016MI105002	EPA	44.14308333	-86.31778333	2016	09	14	Michigan	Mason County
2016MI045003	Low Intensity Plot: Cover	42.63331667	-84.9428	2016	09	15	Michigan	Eaton County
2016MI045004	Low Intensity Plot: Cover	42.63123333	-84.94083333	2016	09	20	Michigan	Eaton County
2016MI045005	Low Intensity Plot: Cover	42.63088333	-84.9429	2016	09	20	Michigan	Eaton County
2016MI081002	Low Intensity Plot: Cover	43.24223333	-85.66861667	2016	05	24	Michigan	Kent County
2016MI045006	Low Intensity Plot: Cover	42.63355	-84.94551667	2016	09	20	Michigan	Eaton County
2016MI165001	ELTP	44.22023333	-85.70068333	2016	09	21	Michigan	Wexford County
2016MI165002	ELTP	44.22011667	-85.70305	2016	09	21	Michigan	Wexford County
2016MI165003	ELTP	44.23088333	-85.68573333	2016	09	21	Michigan	Wexford County
2016MI139003	Low Intensity Plot: Cover	43.17108333	-85.7971	2016	09	25	Michigan	Ottawa County
2016MI107001	Low Intensity Plot: Cover	43.70716667	-85.28035	2016	10	05	Michigan	Mecosta County
2016MI107002	Low Intensity Plot: Cover	43.70621667	-85.28201667	2016	10	05	Michigan	Mecosta County
2016MI081003	Low Intensity Plot: Cover	43.24215	-85.67776667	2016	05	24	Michigan	Kent County
2016MI081004	Low Intensity Plot: Cover	43.24805	-85.67208333	2016	05	26	Michigan	Kent County
2016MI081005	Low Intensity Plot: Cover	43.24815	-85.69026667	2016	05	26	Michigan	Kent County
es20170731.04	Wetland Determination	43.22673333	-85.82853333	2017	07	31	Michigan	Muskegon County
es20170519.01	Medium Intensity Plot: Strata	42.72225	-85.18215	2017	05	19	Michigan	Barry County
es20170519.02	Medium Intensity Plot: Strata	42.72071667	-85.157	2017	05	19	Michigan	Barry County
es20170519.03	Medium Intensity Plot: Strata	42.73383333	-85.1653	2017	05	19	Michigan	Barry County
es20170615.01	Medium Intensity Plot: Strata	42.47378333	-84.82618333	2017	06	15	Michigan	Eaton County
es20170615.02	Medium Intensity Plot: Strata	42.46708333	-84.86096667	2017	06	15	Michigan	Eaton County
