OBJECTID,Observatio,Observat_1,Latitude,Longitude,Year,Mon,Day,State,County,Slope_r12w,Aspect_r12,slopepos50,slopepos_1,r12w_dem
24,Coastal Plain Marsh 2,Low Intensity Plot: Cover,43.503216670000000,-85.800033330000005,2011,8,12,Michigan,Newaygo County,0.6935592,29.2052002,0.4562285,0.2183515,253.2906036
25,S12082801,Low Intensity Plot: Cover,43.429066669999997,-86.353216669999995,2012,8,28,Michigan,Muskegon County,10.7759495,264.7919006,0.7042624,0.7099891,210.9218140
26,S14060601,Medium Intensity Plot: Strata,43.302111109999998,-86.155000000000001,2014,6,6,Michigan,Muskegon County,0.1678750,270.6010742,0.4729619,0.5022131,200.6843109
27,S14060602,Medium Intensity Plot: Strata,43.304527780000001,-86.148722219999996,2014,6,6,Michigan,Muskegon County,0.2086102,202.4859467,0.5159578,0.3867168,201.1989288
28,S13071101,Low Intensity Plot: Cover,43.305533330000003,-85.927233330000007,2013,7,11,Michigan,Newaygo County,0.9784709,283.4551086,0.5699357,0.1801488,221.1562958
29,S13071102,Low Intensity Plot: Cover,43.302849999999999,-85.930999999999997,2013,7,11,Michigan,Newaygo County,1.3370247,287.5819702,0.3572895,0.2817512,219.7613983
30,S13072301,Line-Point-Intercept Plot,43.304533329999998,-85.928950000000000,2013,7,23,Michigan,Newaygo County,0.9325616,293.9876709,0.4524648,0.1280927,219.6773834
31,S13072302,Line-Point-Intercept Plot,43.304800000000000,-85.928683329999998,2013,7,23,Michigan,Newaygo County,1.1177766,283.9645386,0.4579920,0.1326428,219.8800659
32,S14061001,Medium Intensity Plot: Strata,43.301222220000000,-85.981638889999999,2014,6,10,Michigan,Muskegon County,0.5879574,200.4686584,0.4926288,0.4828205,214.3779755
33,S14061002,Medium Intensity Plot: Strata,43.299861110000002,-85.982888889999998,2014,6,10,Michigan,Newaygo County,0.4027979,186.5109711,0.5031619,0.4422102,213.6243439
34,S14071501,High Intensity Plot: Nested,43.298333329999998,-86.011833330000002,2014,7,15,Michigan,Muskegon County,0.7516999,322.2682495,0.5579444,0.6627155,211.1337128
35,S14071502,High Intensity Plot: Nested,43.299266670000002,-86.007783329999995,2014,7,15,Michigan,Muskegon County,0.5385038,221.9209442,0.4871152,0.6080070,211.9844513
36,DSP ER2,High Intensity Plot: Nested,43.303983330000001,-85.759716670000003,2015,7,31,Michigan,Newaygo County,0.4990466,217.1652374,0.4423283,0.0746301,240.2898865
37,S13071103,Low Intensity Plot: Cover,43.296799999999998,-85.966816670000000,2013,7,11,Michigan,Newaygo County,0.3514091,329.9568176,0.4838706,0.3663429,214.5913086
38,S13071104,Low Intensity Plot: Cover,43.289149999999999,-85.967283330000001,2013,7,11,Michigan,Muskegon County,0.1971690,179.9926147,0.5695328,0.5953665,215.8352203
39,S12052401,Low Intensity Plot: Cover,43.296349999999997,-85.356999999999999,2012,5,24,Michigan,Montcalm County,18.6572819,86.2686234,0.7412248,0.7224054,273.7416077
40,S12052402,Low Intensity Plot: Cover,43.299166669999998,-85.356466670000003,2012,5,24,Michigan,Montcalm County,29.8048916,90.5600739,0.2923651,0.3178903,264.9367065
41,Sandy Outwash Plain,General,43.248312779999999,-86.120999720000000,2011,9,28,Michigan,Muskegon County,0.4421183,158.3309326,0.3931638,0.7756667,204.2634125
42,DSP RR1,High Intensity Plot: Nested,43.255883330000003,-85.160499999999999,2015,7,29,Michigan,Montcalm County,0.6481208,266.9905090,0.4202841,0.0873464,265.2906494
43,2016MI081004,Low Intensity Plot: Cover,43.248049999999999,-85.672083330000007,2016,5,26,Michigan,Kent County,0.4805574,297.5210876,0.4731171,0.2643788,239.9730377
44,2016MI081005,Low Intensity Plot: Cover,43.248150000000003,-85.690266670000000,2016,5,26,Michigan,Kent County,0.3227640,147.7869263,0.6434211,0.5794982,236.9914856
45,S12090701,Low Intensity Plot: Cover,43.242950000000000,-85.829200000000000,2012,9,7,Michigan,Muskegon County,3.9286840,134.6648254,0.4650454,0.2904083,245.7208405
46,farm field,Wetland Determination,43.241799999999998,-85.630849999999995,2016,8,24,Michigan,Kent County,1.9422785,228.9296570,0.5010812,0.3540594,252.1302643
47,Woodland,Wetland Determination,43.241799999999998,-85.630849999999995,2016,8,24,Michigan,Kent County,1.9422785,228.9296570,0.5010812,0.3540594,252.1302643
48,2016MI081010,Low Intensity Plot: Cover,43.241283330000002,-85.540716669999995,2016,9,6,Michigan,Kent County,0.4706748,202.9477844,0.1144814,0.1693162,267.9791870
49,2016MI081011,Low Intensity Plot: Cover,43.241100000000003,-85.539249999999996,2016,9,6,Michigan,Kent County,7.2034912,295.4827576,0.6830413,0.5845136,275.0077515
50,2016MI081002,Low Intensity Plot: Cover,43.242233329999998,-85.668616670000006,2016,5,24,Michigan,Kent County,0.3755660,233.5277863,0.4878131,0.2086217,239.9385071
51,2016MI081003,Low Intensity Plot: Cover,43.242150000000002,-85.677766669999997,2016,5,24,Michigan,Kent County,0.1935429,241.3596497,0.4941431,0.4719948,238.2722321
52,2016MI081008,Low Intensity Plot: Cover,43.238700000000001,-85.538516670000007,2016,9,6,Michigan,Kent County,4.2202272,174.7333069,0.2849667,0.5851133,274.9876099
53,2016MI081009,Low Intensity Plot: Cover,43.240200000000002,-85.540016670000000,2016,9,6,Michigan,Kent County,6.8169656,11.1624603,0.4712793,0.5728770,274.0613098
54,es20170731.04,Wetland Determination,43.226733330000002,-85.828533329999999,2017,7,31,Michigan,Muskegon County,0.1452716,264.8777771,0.5911447,0.5019910,246.8272400
55,es20170731.03,Wetland Determination,43.227033329999998,-85.824933329999993,2017,7,31,Michigan,Muskegon County,1.1663998,274.9340210,0.4574787,0.3007059,246.9348907
56,es20170731.01,Wetland Determination,43.226283330000001,-85.828433329999996,2017,7,31,Michigan,Muskegon County,0.1462823,255.4171600,0.5924302,0.4806435,246.8161469
57,es20170731.02,Wetland Determination,43.225850000000001,-85.825900000000004,2017,7,31,Michigan,Muskegon County,0.2383062,263.0892334,0.3735735,0.2825381,246.1319885
58,W14081201,Wetland Determination,43.187869999999997,-85.839400999999995,2014,8,12,Michigan,Ottawa County,0.7662756,356.9232483,0.5068364,0.3212880,222.7821198
59,W14081402,Wetland Determination,43.188033330000003,-85.841949999999997,2014,8,14,Michigan,Ottawa County,1.3782043,318.3791809,0.4794545,0.2027496,221.6611176
60,W14081404,Wetland Determination,43.187500000000000,-85.843800000000002,2014,8,14,Michigan,Ottawa County,1.8528913,310.5709839,0.3111376,0.0736124,219.7560577
61,S14081305,Low Intensity Plot: Cover,43.178666669999998,-86.063249999999996,2014,8,13,Michigan,Muskegon County,0.2062547,137.6910248,0.4705619,0.6755766,199.4822388
62,S14081306,Low Intensity Plot: Cover,43.179766669999999,-86.063783330000007,2014,8,13,Michigan,Muskegon County,0.4078110,148.2037811,0.5208162,0.7116665,200.0840149
63,W14081403,Wetland Determination,43.187199999999997,-85.843900000000005,2014,8,14,Michigan,Ottawa County,3.0449033,318.3303223,0.4420018,0.1218005,220.4498596
64,DSP RF2,High Intensity Plot: Nested,43.184066750000000,-85.342124920000003,2015,6,4,Michigan,Kent County,3.3359497,236.5797272,0.3198367,0.1361767,246.8660736
65,W14081401,Wetland Determination,43.179633330000001,-85.461366670000004,2014,8,14,Michigan,Kent County,0.0014352,7.1250162,0.4979788,0.5671282,274.1940002
66,2016MI139003,Low Intensity Plot: Cover,43.171083330000002,-85.797100000000000,2016,9,25,Michigan,Ottawa County,1.1851771,143.8529663,0.5568537,0.3097399,256.2937927
67,s20190726.01,Soil,43.155255560000001,-86.059711109999995,2019,9,12,Michigan,Muskegon County,0.2117366,119.4045181,0.4869927,0.7728332,199.8813629
68,S14081304,Low Intensity Plot: Cover,43.147799999999997,-86.083716670000001,2014,8,13,Michigan,Muskegon County,1.2121780,343.3454590,0.5171796,0.6896783,200.3416290
69,Sand Dunes,General,43.127018000000000,-86.273810999999995,2011,9,28,Michigan,Muskegon County,25.9049206,163.4153900,0.8708066,0.6975424,215.0807343
70,W2015062507,Wetland Determination,43.139055560000003,-85.435588890000005,2015,6,25, , ,0.8613124,220.9629669,0.2546027,0.0591726,264.2936401
71,W2015062508,Wetland Determination,43.139650000000003,-85.435900000000004,2015,6,25, , ,0.4344781,161.3105164,0.2443999,0.0830074,264.5112305
72,S12052403,Low Intensity Plot: Cover,43.141194440000000,-85.193805560000001,2012,5,24,Michigan,Montcalm County,0.1815373,317.2282410,0.1658526,0.5835214,252.4979858
73,W14090809,Wetland Determination,43.127016670000003,-85.894616670000005,2014,9,8,Michigan,Ottawa County,0.5753757,195.6822357,0.4035322,0.4676600,221.9716339
74,W14090801,Wetland Determination,43.128383329999998,-85.905683330000002,2014,9,8,Michigan,Ottawa County,1.2868761,204.1401978,0.2124595,0.0952580,219.7196960
75,W14090802,Wetland Determination,43.128149999999998,-85.904433330000003,2014,9,8,Michigan,Ontonagon County,3.5714965,266.9555359,0.5017779,0.2322547,221.1977844
76,W14090803,Wetland Determination,43.126399999999997,-85.900400000000005,2014,9,8,Michigan,Ottawa County,1.3261256,83.4234390,0.5741621,0.4745766,223.3847351
77,W14090804,Wetland Determination,43.126348229999998,-85.898398830000005,2014,9,8,Michigan,Ottawa County,0.9947335,44.8202896,0.5160048,0.4421813,221.4522247
78,W14090805,Wetland Determination,43.127066669999998,-85.898600000000002,2014,9,8,Michigan,Ottawa County,2.5730028,73.7193756,0.4750527,0.2692505,220.9997864
79,W14090806,Wetland Determination,43.126728010000001,-85.898516849999993,2014,9,8,Michigan,Ottawa County,1.1727688,55.3059082,0.4897732,0.3951930,221.4252167
80,W14090807,Wetland Determination,43.127216670000003,-85.895399999999995,2014,9,8,Michigan,Ottawa County,1.2672595,162.0613708,0.5060381,0.4893281,222.4390106
81,W14090808,Wetland Determination,43.127116669999999,-85.895399999999995,2014,9,8,Michigan,Ottawa County,1.2672595,162.0613708,0.5060381,0.4893281,222.4390106
82,es20170525.01,Medium Intensity Plot: Strata,43.143050000000002,-84.905666670000002,2017,5,25,Michigan,Montcalm County,0.6185315,69.0891724,0.3463960,0.5260730,240.7387085
83,W2015062501,Wetland Determination,43.130166670000001,-85.437416670000005,2015,6,25, , ,1.0692788,103.4181900,0.4595115,0.2208541,268.6029358
84,S2015062501,Wetland Determination,43.129300000000001,-85.438016669999996,2015,6,25, , ,1.0468671,70.7692337,0.4396847,0.2646651,268.9781189
85,W2015062502,Wetland Determination,43.128700000000002,-85.433366669999998,2015,6,25, , ,0.1341024,36.4787331,0.4664558,0.3976952,267.9996033
86,W2015062503,Wetland Determination,43.126466669999999,-85.431433330000004,2015,6,25, , ,1.2829822,105.0127716,0.4300856,0.3117868,267.0876465
87,W2015062504,Wetland Determination,43.129733330000001,-85.432850000000002,2015,6,25, , ,0.0877513,158.4128876,0.4945993,0.4910748,268.0215454
88,W2015062505,Wetland Determination,43.129800000000003,-85.434816670000004,2015,6,25, , ,0.0500617,204.0585327,0.4686422,0.2602056,268.0100098
89,W2015062506,Wetland Determination,43.126916670000000,-85.435350000000000,2015,6,25, , ,0.3457889,161.1013184,0.5498652,0.3186291,268.0216675
90,S12091904,Low Intensity Plot: Cover,43.086033329999999,-86.071316670000002,2012,9,19,Michigan,Ottawa County,0.2545867,359.5907593,0.5095121,0.7664187,192.5380554
91,S12091901,Low Intensity Plot: Cover,43.084949999999999,-86.068600000000004,2012,9,20,Michigan,Ottawa County,0.5648851,169.8162231,0.5351881,0.8831303,192.2163849
92,S12091902,Low Intensity Plot: Cover,43.085033330000002,-86.069533329999999,2012,9,19,Michigan,Ottawa County,0.7321051,193.0571289,0.5097989,0.8198397,192.3492737
93,S12091903,Low Intensity Plot: Cover,43.085616670000000,-86.070049999999995,2012,9,19,Michigan,Ottawa County,0.3519952,179.9151459,0.6315742,0.8789969,192.7045288
94,W2015060903,Wetland Determination,43.084933329999998,-86.017233329999996,2015,6,9, , ,0.6466469,217.9162903,0.5544577,0.7170674,192.7861938
95,S2015060901,Wetland Determination,43.085633330000000,-86.017966670000007,2015,6,9, , ,0.6260157,233.5423279,0.5494800,0.7246500,192.8549805
96,W2015060904,Wetland Determination,43.086883329999999,-86.018383330000006,2015,6,9, , ,0.7408445,279.1809998,0.4344899,0.7117105,192.5162811
97,W2015060905,Wetland Determination,43.087483329999998,-86.019683330000007,2015,6,9, , ,0.6697518,231.2280731,0.4283236,0.7111529,191.9829865
98,W2015060906,Wetland Determination,43.086166669999997,-86.020099999999999,2015,6,9, , ,0.3983190,262.6544800,0.5244313,0.6158249,192.1830597
99,es20170717.01,Wetland Determination,43.100966669999998,-84.423566670000000,2017,7,17,Michigan,Clinton County,0.9013540,176.7448883,0.2828521,0.1379839,206.0563507
100,es20170717.02,Wetland Determination,43.101283330000001,-84.423633330000001,2017,7,17,Michigan,Clinton County,1.2477633,250.2615509,0.4027914,0.0989069,205.5258484
101,2016MI037001,Low Intensity Plot: Cover,43.085433330000001,-84.765316670000004,2016,7,6,Michigan,Clinton County,0.5577652,330.9147034,0.4401182,0.0391166,196.2254028
102,2016MI037002,Low Intensity Plot: Cover,43.084783330000000,-84.765450000000001,2016,7,6,Michigan,Clinton County,5.5458946,327.8321838,0.1344165,0.0720910,197.0616302
103,S12090702,Low Intensity Plot: Cover,43.064050000000002,-85.787800000000004,2012,9,7,Michigan,Kent County,0.6095253,146.9469452,0.2978993,0.1741540,229.7915344
104,S12090703,Low Intensity Plot: Cover,43.063899999999997,-85.787316669999996,2012,9,7,Michigan,Ottawa County,2.2988226,340.9496765,0.3514971,0.2132660,230.2031860
105,S12092001,Low Intensity Plot: Cover,43.053233329999998,-86.067533330000003,2012,9,20,Michigan,Ottawa County,0.1153801,128.9117737,0.6881601,0.7146122,185.7447968
106,S12092002,Low Intensity Plot: Cover,43.050066670000000,-86.070666669999994,2012,9,20,Michigan,Ottawa County,1.3841140,262.7005920,0.5010268,0.6012988,184.2772522
107,2016MI081012,Low Intensity Plot: Cover,43.050633329999997,-85.735399999999998,2016,9,6,Michigan,Kent County,0.7811154,213.0034943,0.5543497,0.9235802,235.2076569
108,S14071701,High Intensity Plot: Nested,43.036200000000001,-86.120766669999995,2014,7,17,Michigan,Ottawa County,0.9526260,122.7600174,0.5729578,0.7164145,182.4994049
109,Sandy Lake Plain,General,43.034111109999998,-86.108638889999995,2011,9,28,Michigan,Ottawa County,1.2086625,102.5665359,0.6084366,0.9115618,186.0562592
110,Lamberton Lake Fen,High Intensity Plot: Nested,43.036016670000002,-85.627799999999993,2015,7,20,Michigan,Kent County,4.5649281,4.9130993,0.3707450,0.1873463,205.9693146
111,2016MI067010,Low Intensity Plot: Cover,43.046983330000003,-85.217183329999997,2016,8,8,Michigan,Ionia County,0.3282584,67.6850586,0.5983734,0.1802599,258.9244385
112,2016MI067011,Low Intensity Plot: Cover,43.046033330000000,-85.217983329999996,2016,8,8,Michigan,Ionia County,0.6778085,312.8576965,0.4916324,0.2300796,259.1981506
113,2016MI081006,Low Intensity Plot: Cover,43.024166670000000,-85.498699999999999,2016,6,10,Michigan,Kent County,7.3610830,289.5724487,0.0591399,0.3285220,235.2492828
114,2016MI081007,Low Intensity Plot: Cover,43.024616670000000,-85.498816669999997,2016,6,10,Michigan,Kent County,1.8601359,102.1773300,0.2225131,0.3390897,235.8479767
115,S12053101,Low Intensity Plot: Cover,43.018149999999999,-85.626883329999998,2012,5,31,Michigan,Kent County,1.1422480,292.3489075,0.4657693,0.1040536,201.0117493
116,S12042501,Low Intensity Plot: Cover,43.005133330000000,-86.063566670000000,2012,4,25,Michigan,Ottawa County,1.1331414,61.3363304,0.3769466,0.3545580,188.6007385
117,S14081303,Low Intensity Plot: Cover,43.001866669999998,-86.166300000000007,2014,8,13,Michigan,Ottawa County,0.5454207,109.6110077,0.4422801,0.7169142,187.3896332
118,S14081301,Low Intensity Plot: Cover,42.999133329999999,-86.103616669999994,2014,8,13,Michigan,Ottawa County,0.0405321,92.3013840,0.5838095,0.4929819,188.7542877
119,S14081302,Low Intensity Plot: Cover,42.998750000000001,-86.103166669999993,2014,8,13,Michigan,Ottawa County,0.3777641,138.8185272,0.5070418,0.3906251,188.6075745
120,s20190722.03,Wetland Determination,43.019688889999998,-84.752502780000000,2019,7,22,Michigan,Clinton County,0.2091588,120.1853561,0.4443661,0.3177125,224.3415222
121,s20190722.04,Wetland Determination,43.019522219999999,-84.754352780000005,2019,7,22,Michigan,Clinton County,0.7670583,79.2334290,0.6958214,0.4297408,225.6894073
122,S12042504,Low Intensity Plot: Cover,42.989699999999999,-86.069249999999997,2012,4,25,Michigan,Ottawa County,4.0276451,51.2385902,0.1944295,0.1735829,192.0919952
123,S12042502,Low Intensity Plot: Cover,42.988050000000001,-86.069816669999994,2012,4,25,Michigan,Ottawa County,3.3762820,258.1332397,0.3564562,0.5675829,195.3901672
124,S12042503,Low Intensity Plot: Cover,42.988816669999999,-86.069050000000004,2012,4,25,Michigan,Ottawa County,8.1516838,53.2486763,0.7320921,0.7181473,196.6201019
125,Blandford Ravine,Floristic,42.995012080000002,-85.742685980000005,2013,5,31,Michigan,Kent County,1.8897730,110.5584335,0.1311826,0.2690881,215.6930695
126,S14080601,High Intensity Plot: Nested,42.988116669999997,-86.069983329999999,2014,8,6,Michigan,Ottawa County,3.3762820,258.1332397,0.3564562,0.5675829,195.3901672
127,es20170915.01,General,43.010449999999999,-84.808250000000001,2017,9,15,Michigan,Clinton County,0.8323810,186.2662506,0.4747452,0.6356436,220.2702789
128,S12042505,Low Intensity Plot: Cover,42.985333330000003,-86.079533330000004,2012,4,25,Michigan,Ottawa County,0.4801473,264.3134766,0.2380688,0.2556985,191.8217468
129,S12052302,Low Intensity Plot: Cover,42.983766670000001,-86.069749999999999,2012,5,23,Michigan,Ottawa County,1.0466875,171.1348419,0.1841258,0.2350894,191.7535553
130,MM01.02,Low Intensity Plot: Cover,42.979383329999997,-85.830633329999998,2012,4,16,Michigan,Ottawa County,1.3249167,251.9813385,0.5235289,0.8456925,205.2445374
131,S12052301,Low Intensity Plot: Cover,42.972083329999997,-86.134050000000002,2012,5,23,Michigan,Ottawa County,1.7368844,122.0260391,0.5537265,0.2497347,190.8036346
132,MM01.A,Low Intensity Plot: Cover,42.979750000000003,-85.836799999999997,2012,4,16,Michigan,Ottawa County,0.9152954,91.1988297,0.4483069,0.0579378,188.5937042
133,S12060401,Low Intensity Plot: Cover,42.986866669999998,-85.359399999999994,2012,6,4,Michigan,Kent County,1.7540309,21.7611084,0.4474256,0.1483417,226.3053436
134,MM01.01,Low Intensity Plot: Cover,42.976745000000001,-85.836788999999996,2012,4,16,Michigan,Ottawa County,3.3330777,75.8864365,0.6045674,0.5269213,198.7037048
135,Page Creek Fen,High Intensity Plot: Nested,42.986566670000002,-85.361450000000005,2015,7,8,Michigan,Kent County,0.6857941,55.8113899,0.3421487,0.1158522,227.4161377
136,Ionia County Shallow Sandy Site 2,Soil,42.977444439999999,-84.994888889999999,2011,6,6,Michigan,Ionia County,0.5089265,7.8031411,0.5113693,0.3993239,197.6260376
137,Ionia County Shallow Sandy Site 1,Low Intensity Plot: Cover,42.976748999999998,-84.995823000000001,2011,6,6,Michigan,Ionia County,0.4058780,34.7597504,0.5055273,0.4304011,198.2227173
138,S12061201,Low Intensity Plot: Cover,42.959633330000003,-85.791300000000007,2012,6,12,Michigan,Ottawa County,1.0568051,253.9339142,0.6653826,0.1503043,206.8702698
139,S12051101,Low Intensity Plot: Cover,42.950966670000000,-85.882800000000003,2012,5,11,Michigan,Ottawa County,31.6689854,326.6167908,0.4878057,0.6036190,205.5308075
140,S12051102,Low Intensity Plot: Cover,42.953000000000003,-85.881233330000001,2012,5,11,Michigan,Ottawa County,15.6726027,107.1784134,0.4286949,0.3947860,195.0643311
141,S12051103,Low Intensity Plot: Cover,42.952384230000000,-85.881500000000003,2012,5,11,Michigan,Ottawa County,12.3062286,315.5165405,0.0234138,0.2677968,189.7413635
142,2016MI139001,Low Intensity Plot: Cover,42.944383330000001,-86.117933330000000,2016,8,23,Michigan,Ottawa County,0.1444615,348.0570679,0.5018024,0.4556324,191.2287292
143,2016MI139002,Low Intensity Plot: Cover,42.943666669999999,-86.116983329999996,2016,8,23,Michigan,Ottawa County,0.0684407,86.2716064,0.5000424,0.4821068,191.2911224
144,Ionia County RCA Site,Low Intensity Plot: Cover,42.952416669999998,-85.159472219999998,2011,6,20,Michigan,Ionia County,1.5665443,330.7597046,0.2301593,0.1516061,194.5462189
145,S12060402,Low Intensity Plot: Cover,42.928166670000003,-85.286749999999998,2012,6,4,Michigan,Ionia County,4.3451362,31.6577835,0.4336403,0.2031472,196.2524109
146,S12042301,Low Intensity Plot: Cover,42.907100000000000,-85.990549999999999,2012,4,23,Michigan,Ottawa County,0.3689293,304.0600586,0.4481553,0.6420686,194.6750031
147,S12050801,Low Intensity Plot: Cover,42.891333330000002,-86.051483329999996,2012,5,8,Michigan,Ottawa County,1.4627836,26.8301125,0.4679966,0.4309593,199.4292297
148,S12050802,Low Intensity Plot: Cover,42.891249999999999,-86.051833329999994,2012,5,8,Michigan,Ottawa County,1.3904713,25.6822052,0.4995174,0.4454746,199.6389465
149,S12050803,Low Intensity Plot: Cover,42.891133330000002,-86.051833329999994,2012,5,8,Michigan,Ottawa County,1.2948698,20.2199974,0.5130009,0.4687841,200.0141449
150,S12060501,Low Intensity Plot: Cover,42.877916669999998,-85.323816669999999,2012,6,5,Michigan,Kent County,3.6360619,348.8318787,0.6053808,0.3522364,251.3476257
151,S12092601,Low Intensity Plot: Cover,42.855150000000002,-85.850466670000003,2012,9,26,Michigan,Ottawa County,15.2830601,10.5264254,0.2959707,0.2045353,200.8332977
152,S12092602,Low Intensity Plot: Cover,42.854950000000002,-85.849483329999998,2012,9,26,Michigan,Ottawa County,13.2489672,295.1517944,0.4883281,0.5398092,209.2768250
153,S12092603,Low Intensity Plot: Cover,42.854816669999998,-85.849766669999994,2012,9,26,Michigan,Ottawa County,13.4773636,325.6117554,0.4104068,0.4049389,205.8653564
154,S12092604,Low Intensity Plot: Cover,42.854566669999997,-85.849816669999996,2012,9,26,Michigan,Ottawa County,10.8711662,338.5177002,0.6612116,0.5902746,210.5412598
155,2016MI067004,Low Intensity Plot: Cover,42.808116669999997,-84.940566669999995,2016,6,8,Michigan,Ionia County,5.1113672,37.1144600,0.7021407,0.8773897,244.8748474
156,2016MI067005,Low Intensity Plot: Cover,42.807816670000001,-84.944916669999998,2016,6,8,Michigan,Ionia County,2.3328626,96.7899857,0.6953108,0.7862701,244.2708588
157,2016MI067006,Low Intensity Plot: Cover,42.807933329999997,-84.943916669999993,2016,6,8,Michigan,Ionia County,9.1636572,109.8013000,0.5613360,0.6385441,240.1537933
158,2016MI067007,Low Intensity Plot: Cover,42.807666670000003,-84.943716670000001,2016,6,8,Michigan,Ionia County,8.5087109,119.7294006,0.3299389,0.5669556,238.4365082
159,2016MI067001,Low Intensity Plot: Cover,42.793016670000000,-84.863600000000005,2016,6,2,Michigan,Ionia County,14.5250111,33.8652267,0.6486441,0.5718513,245.1710968
160,2016MI067002,Low Intensity Plot: Cover,42.793700000000001,-84.862833330000001,2016,6,2,Michigan,Ionia County,6.1832485,10.6242619,0.1693871,0.1368341,233.8831940
161,2016MI067008,Low Intensity Plot: Cover,42.792600000000000,-84.994583329999998,2016,8,8,Michigan,Ionia County,0.0550454,282.1483765,0.4867844,0.4359556,255.8022766
162,2016MI067009,Low Intensity Plot: Cover,42.793233330000000,-84.993750000000006,2016,8,8,Michigan,Ionia County,0.0414894,313.5967712,0.4227980,0.5083434,255.8069153
163,S12062503,Low Intensity Plot: Cover,42.795066669999997,-84.382633330000004,2012,6,25,Michigan,Clinton County,0.3919925,259.9870605,0.5210642,0.1137096,256.2399292
164,S12062504,Low Intensity Plot: Cover,42.795699999999997,-84.382199999999997,2012,6,25,Michigan,Clinton County,0.4630236,302.8438416,0.4765567,0.1084798,256.1545410
