"Latitude","Longitude","Observation_ID","Observation_Label","Species","Habit","ESIS.Group","Simple","Field","Shrub","Subcanopy","Tree","Fmin","Fmax","Smin","Smax","SCmin","SCmax","Tmin","Tmax","Dmin","Dmax","BA","Total"
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Lysimachia borealis","HF2","Forb/Herb","Forb",1.3,0,0,0,0.1,0.6,,,,,,,,,,1.29998700013
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Osmunda claytoniana","HFE","Fern/fern ally","Forb",1.3,0,0,0,0.5,1,,,,,,,,,,1.29998700013
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Polytrichum","NB","Nonvascular","Nonvascular",1.3,0,0,0,0,0.05,,,,,,,,,,1.29998700013
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Carex","HG","Grass/grass-like (Graminoids)","Graminoid",0.3,0,0,0,0.1,0.6,,,,,,,,,,0.299997000029995
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Cornus canadensis","HF2","Forb/Herb","Forb",0.3,0,0,0,0.1,0.2,,,,,,,,,,0.299997000029995
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Corylus cornuta","SBD2","Shrub/Subshrub","Deciduous",0.3,0,0,0,0,0.3,,,,,,,,,,0.299997000029995
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Equisetum sylvaticum","HFE","Fern/fern ally","Forb",0.3,0,0,0,0.15,0.3,,,,,,,,,,0.299997000029995
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Lonicera canadensis","SBD2","Shrub/Subshrub","Deciduous",0.3,0,0,0,0,0.3,,,,,,,,,,0.299997000029995
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Mitchella repens","HF2","Forb/Herb","Forb",0.3,0,0,0,0.05,0.1,,,,,,,,,,0.299997000029995
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Poa","HGC","Grass/grass-like (Graminoids)","Graminoid",0.3,0,0,0,0.1,0.6,,,,,,,,,,0.299997000029995
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Rubus pubescens","SBD1","Shrub/Subshrub","Deciduous",0.3,0,0,0,0,0.3,,,,,,,,,,0.299997000029995
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Viburnum lentago","TBD1","Tree","Deciduous",0.3,0,0,0,0.1,0.5,,,,,,,,,,0.299997000029995
44.216875,-85.594806,"GRR.GJS.2022.4","s20220525.004","Quercus rubra","TBD2","Tree","Deciduous",0.4,0,4.6,77.1,0.1,0.5,,,5,15,9,21,17,67,13.7741046831956,78.2400424494644
44.216875,-85.594806,"GRR.GJS.2022.4","s20220525.004","Fagus grandifolia","TBD","Tree","Deciduous",0,74.8,77.1,0,,,1,5,1,10,,,,,,94.2288344138888
44.216875,-85.594806,"GRR.GJS.2022.4","s20220525.004","Prunus serotina","TBD2","Tree","Deciduous",0,0.4,0,0,,,1,5,,,,,,,,0.399996000040004
44.216875,-85.594806,"GRR.GJS.2022.4","s20220525.004","Pteridium aquilinum","HFE","Fern/fern ally","Forb",18.9,0,0,0,0.25,0.5,,,,,,,,,,18.89981100189
44.216875,-85.594806,"GRR.GJS.2022.4","s20220525.004","Acer rubrum","TBD2","Tree","Deciduous",0.4,0,0,0,0.1,0.5,,,,,,,,,,0.399996000040004
44.216875,-85.594806,"GRR.GJS.2022.4","s20220525.004","Acer saccharum","TBD2","Tree","Deciduous",0.4,0,0,0,0.1,0.5,,,,,,,,,,0.399996000040004
44.216875,-85.594806,"GRR.GJS.2022.4","s20220525.004","Amelanchier arborea","TBD1","Tree","Deciduous",0.4,0,0,0,0.1,0.5,,,,,,,,,,0.399996000040004
44.216875,-85.594806,"GRR.GJS.2022.4","s20220525.004","Erythronium americanum","HF2","Forb/Herb","Forb",0.4,0,0,0,0.1,0.6,,,,,,,,,,0.399996000040004
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Populus tremuloides","TBD2","Tree","Deciduous",0,0,0,17.8,,,,,,,14,31,13,40,11.4784205693297,17.79982200178
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Pinus strobus","TNE2","Tree","Evergreen",0,0,0,4.4,,,,,,,12,17,,67,2.29568411386593,4.39995600044
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Acer rubrum","TBD2","Tree","Deciduous",0,0,4.4,0,,,,,3,15,,,,,2.29568411386593,4.39995600044
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Tilia americana","TBD2","Tree","Deciduous",0,0,4.4,0,,,,,5,15,,,,,2.29568411386593,4.39995600044
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Thuja occidentalis","TNE2","Tree","Evergreen",0,0,1.8,0,,,,,2,15,,,,,,1.79998200018
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Tsuga canadensis","TNE2","Tree","Evergreen",0,0,0.9,0,,,,,2,9,,,,29,2.29568411386593,0.899991000089995
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Carpinus caroliniana","TBD1","Tree","Deciduous",0,14.2,0,0,,,2,5,,,,,,,,14.19985800142
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Carex bromoides","HGC2","Grass/grass-like (Graminoids)","Graminoid",97.3,0,0,0,0.1,0.6,,,,,,,,,,97.2990270097299
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Athyrium angustum","HFE","Fern/fern ally","Forb",48.7,0,0,0,0.1,0.6,,,,,,,,,,48.69951300487
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Impatiens capensis","HF1","Forb/Herb","Forb",3,0,0,0,0.75,1.5,,,,,,,,,,2.9999700003
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Mitella diphylla","HF2","Forb/Herb","Forb",3,0,0,0,0.1,0.6,,,,,,,,,,2.9999700003
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Rubus pubescens","SBD1","Shrub/Subshrub","Deciduous",3,0,0,0,0,0.3,,,,,,,,,,2.9999700003
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Tiarella cordifolia","HF2","Forb/Herb","Forb",3,0,0,0,0.1,0.6,,,,,,,,,,2.9999700003
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Actaea","HF","Forb/Herb","Forb",0.6,0,0,0,0.1,0.6,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Aralia nudicaulis","HF2","Forb/Herb","Forb",0.6,0,0,0,0.25,0.5,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Arisaema triphyllum","HF2","Forb/Herb","Forb",0.6,0,0,0,0.25,0.5,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Carex gracillima","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.6,0,0,0,0.5,1,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Galium aparine","HFV1","Forb/Herb","Forb",0.6,0,0,0,0.15,0.3,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Geum","HF","Forb/Herb","Forb",0.6,0,0,0,0.1,0.6,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Milium effusum","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.6,0,0,0,0.1,0.6,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Onoclea sensibilis","HFE","Fern/fern ally","Forb",0.6,0,0,0,0.1,0.6,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Poa alsodes","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.6,0,0,0,0.1,0.6,,,,,,,,,,0.59999400006
44.209959,-85.5915,"GRR.GJS.2022.5","s20220525.005","Ulmus americana","TBD2","Tree","Deciduous",0.6,0,0,0,0.1,0.5,,,,,,,,,,0.59999400006
44.216741,-85.65618,"GRR.GJS.2022.6","s20220526.001","Acer saccharum","TBD2","Tree","Deciduous",0.2,0,4.8,79,0.1,0.5,,,5,15,10,26,16,41,22.9568411386593,80.0472229716966
44.216741,-85.65618,"GRR.GJS.2022.6","s20220526.001","Ostrya virginiana","TBD1","Tree","Deciduous",0,92.2,0,0,,,1,5,,,,,,,,92.1990780092199
44.216741,-85.65618,"GRR.GJS.2022.6","s20220526.001","Fagus grandifolia","TBD2","Tree","Deciduous",0,85.9,0,0,,,1,5,,,,,,,,85.8991410085899
44.216741,-85.65618,"GRR.GJS.2022.6","s20220526.001","Fraxinus americana","TBD2","Tree","Deciduous",0,0.2,0,0,,,1,5,,,,,,,,0.199998000019996
44.216741,-85.65618,"GRR.GJS.2022.6","s20220526.001","Erythronium americanum","HF2","Forb/Herb","Forb",8.6,0,0,0,0.1,0.6,,,,,,,,,,8.59991400085999
44.216741,-85.65618,"GRR.GJS.2022.6","s20220526.001","Carex","HG","Grass/grass-like (Graminoids)","Graminoid",0,0,0,0,,,,,,,,,,,,0
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Quercus rubra","TBD2","Tree","Deciduous",0.3,0,0,89.9,0.1,0.5,,,,,14,31,41,61,36.7309458218549,89.929403402939
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Tsuga canadensis","TNE2","Tree","Evergreen",0.3,0,0,27.2,0.1,0.5,,,,,2,22,54,55,4.59136822773186,27.4181266347255
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Acer rubrum","TBD2","Tree","Deciduous",0.3,0,27.2,0,0.1,0.5,,,5,15,,17,10,22,16.0697887970615,27.4181266347255
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Acer saccharum","TBD2","Tree","Deciduous",0.3,0,7,0,0.1,0.5,,,1.5,14,,,,9,2.29568411386593,7.27892742072369
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Ostrya virginiana","TBD1","Tree","Deciduous",3.3,16.2,0,0,0.1,0.5,1,4,,,,,,,,18.9652156937896
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Fagus grandifolia","TBD2","Tree","Deciduous",1.7,8.2,0,0,0.1,0.5,1,3,,,,,,,,9.76050378894817
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Maianthemum canadense","HF2","Forb/Herb","Forb",1.7,0,0,0,0.1,0.6,,,,,,,,,,1.69998300017
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Amelanchier arborea","TBD1","Tree","Deciduous",0.3,0,0,0,0.1,0.5,,,,,,,,,,0.299997000029995
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Carex pedunculata","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.3,0,0,0,0.1,0.6,,,,,,,,,,0.299997000029995
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Lonicera canadensis","SBD2","Shrub/Subshrub","Deciduous",0.3,0,0,0,0,0.3,,,,,,,,,,0.299997000029995
44.212549,-85.75156,"GRR.GJS.2022.7","s20220526.002","Sassafras albidum","TBD2","Tree","Deciduous",0.3,0,0,0,0.1,0.5,,,,,,,,,,0.299997000029995
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Fagus grandifolia","TBD2","Tree","Deciduous",0.9,77.3,19.3,84.6,0.1,0.5,1,5,5,15,10,25,35,102,13.7741046831956,97.2040236666524
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Acer saccharum","TBD2","Tree","Deciduous",0.9,0,0,36.6,0.1,0.5,,,,,10,29,,94,2.29568411386593,37.1702315916511
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Prunus serotina","TBD2","Tree","Deciduous",0,0,0,36.6,,,,,,,13,27,37,45,4.59136822773186,36.59963400366
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Erythronium americanum","HF2","Forb/Herb","Forb",9.3,0,0,0,0.1,0.6,,,,,,,,,,9.29990700093
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Acer rubrum","TBD2","Tree","Deciduous",0.2,0,0,0,0.1,0.5,,,,,,,,,,0.199998000019996
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Arisaema triphyllum","HF2","Forb/Herb","Forb",0.2,0,0,0,0.25,0.5,,,,,,,,,,0.199998000019996
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Carex pedunculata","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Lysimachia borealis","HF2","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Maianthemum canadense","HF2","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.24602,-85.763727,"GRR.GJS.2022.8","s20220526.003","Quercus rubra","TBD2","Tree","Deciduous",0.2,0,0,0,0.1,0.5,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Acer saccharum","TBD2","Tree","Deciduous",17.1,0,0,95,0.1,0.5,,,,,10,31,25,49,27.5482093663912,95.8542039063364
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Fraxinus americana","TBD2","Tree","Deciduous",0,8.5,0,0,,,1,5,,,,,,,,8.49991500084999
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Fagus grandifolia","TBD2","Tree","Deciduous",0,0.8,0,0,,,1,5,,,,,,,,0.799992000079996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Ostrya virginiana","TBD1","Tree","Deciduous",0,0.2,0,0,,,1,5,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Prunus serotina","TBD2","Tree","Deciduous",0,0.2,0,0,,,1,5,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Ribes cynosbati","SBD2","Shrub/Subshrub","Deciduous",0,0.2,0,0,,,0.5,2,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Allium tricoccum","HF2","Forb/Herb","Forb",30.4,0,0,0,0.1,0.6,,,,,,,,,,30.39969600304
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Erythronium americanum","HF2","Forb/Herb","Forb",26,0,0,0,0.1,0.6,,,,,,,,,,25.9997400026
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Dryopteris intermedia","HFE","Fern/fern ally","Forb",4.2,0,0,0,0.1,0.6,,,,,,,,,,4.19995800041999
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Dicentra cucullaria","HF2","Forb/Herb","Forb",1.7,0,0,0,0.1,0.6,,,,,,,,,,1.69998300017
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Schizachne purpurascens","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.8,0,0,0,0.1,0.6,,,,,,,,,,0.799992000079996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Acer rubrum","TBD2","Tree","Deciduous",0.2,0,0,0,0.1,0.5,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Carex arctata","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Carex blanda","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.2,0,0,0,0.3,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Carex intumescens","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.2,0,0,0,0.5,1,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Claytonia caroliniana","HF2","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Dryopteris carthusiana","HFE","Fern/fern ally","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Galium","HF","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Galium aparine","HFV1","Forb/Herb","Forb",0.2,0,0,0,0.15,0.3,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Osmorhiza claytonii","HF2","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Poa","HGC","Grass/grass-like (Graminoids)","Graminoid",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Polygonatum pubescens","HF2","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Quercus rubra","TBD2","Tree","Deciduous",0.2,0,0,0,0.1,0.5,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Rubus","SBD1","Shrub/Subshrub","Deciduous",0.2,0,0,0,0,0.3,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Trillium grandiflorum","HF2","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Veronica officinalis","HF2","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.270551,-85.757351,"GRR.GJS.2022.9","s20220526.004","Viola canadensis","HF2","Forb/Herb","Forb",0.2,0,0,0,0.1,0.6,,,,,,,,,,0.199998000019996
44.180625,-85.791509,"GRR.GJS.2022.10","s20220527.001","Pinus resinosa","TNE2","Tree","Evergreen",0,0,0,69.7,,,,,,,14,25,20,40,43.6179981634527,69.6993030069699
44.180625,-85.791509,"GRR.GJS.2022.10","s20220527.001","Pinus strobus","TNE2","Tree","Evergreen",0,0,0,1,,,,,,,3,17,,22,,0.999990000100004
44.180625,-85.791509,"GRR.GJS.2022.10","s20220527.001","Prunus serotina","TBD2","Tree","Deciduous",0,10.4,0,0,,,1,4,,,,,,,,10.39989600104
44.180625,-85.791509,"GRR.GJS.2022.10","s20220527.001","Quercus alba","TBD2","Tree","Deciduous",2.1,1,0,0,0.1,0.5,1,5,,8,,,,,,3.0789694203037
44.180625,-85.791509,"GRR.GJS.2022.10","s20220527.001","Dicranum polysetum","NB","Nonvascular","Nonvascular",41.3,0,0,0,0,0.05,,,,,,,,,,41.29958700413
44.180625,-85.791509,"GRR.GJS.2022.10","s20220527.001","Pleurozium schreberi","NB","Nonvascular","Nonvascular",41.3,0,0,0,0,0.05,,,,,,,,,,41.29958700413
