"Observation_Label"	"Observation_Type"	"Latitude"	"Longitude"	"Year"	"Mon"	"Day"	"State"	"County"	"pedon"	"taxonname"	"taxonclass"	"pedondist"	"muname"
"2016MI037001"	"Low Intensity Plot: Cover"	43.08543333	-84.76531667	2016	7	6	"Michigan"	"Clinton County"	"2016MI037001"	"Cohoctah"	"Coarse-silty, mixed, nonacid, mesic Fluvaquentic Endoaquepts"	1.8	"Sloan loam"
"2016MI037002"	"Low Intensity Plot: Cover"	43.08478333	-84.76545	2016	7	6	"Michigan"	"Clinton County"	"2016MI037002"	"Houghton"	"Euic, mesic Typic Sulfosaprists"	12.7	"Houghton muck, 0 to 1 percent slopes"
"2016MI045001"	"Low Intensity Plot: Cover"	42.46416667	-84.99818333	2016	8	10	"Michigan"	"Eaton County"	"2016MI045001"	"Spinks"	"Sandy, mixed, mesic Lamellic Hapludalfs"	9	"Colwood loam"
"2016MI045002"	"Low Intensity Plot: Cover"	42.46488333	-84.998	2016	8	10	"Michigan"	"Eaton County"	"2016MI045002"	"Gilford"	"Fine-loamy, mixed, active, mesic Typic Endoaquolls"	15.5	"Colwood loam"
"2016MI045003"	"Low Intensity Plot: Cover"	42.63331667	-84.9428	2016	9	15	"Michigan"	"Eaton County"	"2016MI045003"	"Filer"	"Fine-loamy, mixed, semiactive, mesic Haplic Glossudalfs"	9.1	"Filer loam, 6 to 12 percent slopes"
"2016MI045004"	"Low Intensity Plot: Cover"	42.63123333	-84.94083333	2016	9	20	"Michigan"	"Eaton County"	"2016MI045004"	"Colwood"	"Fine-loamy, mixed, active, mesic Typic Endoaquolls"	4.2	"Conover loam, 0 to 4 percent slopes"
"2016MI045005"	"Low Intensity Plot: Cover"	42.63088333	-84.9429	2016	9	20	"Michigan"	"Eaton County"	"2016MI045005"	"Palms"	"Loamy, euic, mesic Terric Haplosaprists"	2	"Gilford sandy loam, 0 to 2 percent slopes, gravelly subsoil"
"2016MI045006"	"Low Intensity Plot: Cover"	42.63355	-84.94551667	2016	9	20	"Michigan"	"Eaton County"	"2016MI045006"	"Colwood"	"Fine-loamy, mixed, active, mesic Typic Endoaquolls"	29.2	"Oshtemo sandy loam, 6 to 12 percent slopes"
"2016MI059001"	"Low Intensity Plot: Cover"	42.00791667	-84.6943	2016	8	3	"Michigan"	"Hillsdale County"	"2016MI059001"	"Eleva"	"Coarse-loamy, mixed, active, mesic, shallow Typic Dystrudepts"	24.2	"Eleva channery fine sandy loam, 12 to 25 percent slopes"
"2016MI059002"	"Low Intensity Plot: Cover"	42.00813333	-84.69406667	2016	8	3	"Michigan"	"Hillsdale County"	"2016MI059002"	"Eleva"	"Fine-loamy, mixed, active, mesic Typic Hapludalfs"	2.7	"Eleva channery fine sandy loam, 6 to 12 percent slopes"
"2016MI059003"	"Low Intensity Plot: Cover"	42.00746667	-84.69458333	2016	8	3	"Michigan"	"Hillsdale County"	"2016MI059003"	"Eleva"	"Mixed, active, mesic Lamellic Udipsamments"	12.1	"Glendora mucky loamy sand, frequently flooded"
"2016MI065001"	"Low Intensity Plot: Cover"	42.717777	-84.4735	2016	7	14	"Michigan"	"Ingham County"	"2016MI065001"	"Owosso"	"Fine-loamy, mixed, mesic Typic Hapludalfs"	10.2	"Conover loam, 0 to 4 percent slopes"
"2016MI065002"	"Low Intensity Plot: Cover"	42.71408333	-84.47358333	2016	7	14	"Michigan"	"Ingham County"	"2016MI065002"	"Edmore"	"Sandy, mixed, mesic Mollic Endoaquents"	2.2	"Colwood-Brookston loams"
"2016MI067001"	"Low Intensity Plot: Cover"	42.79301667	-84.8636	2016	6	2	"Michigan"	"Ionia County"	"2016MI067001"	"Remus"	"Fine-loamy, mixed, mesic Alfic Argiudolls"	14.3	"Wawasee loam, 6 to 12 percent slopes, moderately eroded"
"2016MI067002"	"Low Intensity Plot: Cover"	42.7937	-84.86283333	2016	6	2	"Michigan"	"Ionia County"	"2016MI067002"	"Remus"	"Fine-loamy, mixed, mesic Haplic Glossudalfs"	41.7	"Miami loam, 25 to 40 percent slopes"
"2016MI067003"	"Low Intensity Plot: Cover"	42.78951667	-84.86313333	2016	6	2	"Michigan"	"Ionia County"	"2016MI067003"	"Wawasee"	"Fine-loamy, mixed, mesic Typic Hapludalfs"	6.8	"Wawasee loam, 2 to 6 percent slopes, moderately eroded"
"2016MI067004"	"Low Intensity Plot: Cover"	42.80811667	-84.94056667	2016	6	8	"Michigan"	"Ionia County"	"2016MI067004"	"Tekenink"	"Fine-loamy, mixed, mesic Typic Hapludalfs"	11.1	"Fox sandy clay loam, 6 to 12 percent slopes, severely eroded"
"2016MI067005"	"Low Intensity Plot: Cover"	42.80781667	-84.94491667	2016	6	8	"Michigan"	"Ionia County"	"2016MI067005"	"Remus"	"Fine-loamy, mixed, mesic Typic Hapludalfs"	5	"Wawasee loam, 2 to 6 percent slopes"
"2016MI067006"	"Low Intensity Plot: Cover"	42.80793333	-84.94391667	2016	6	8	"Michigan"	"Ionia County"	"2016MI067006"	"Remus"	"Fine-loamy, mixed, mesic Typic Hapludalfs"	11.2	"Wawasee loam, 6 to 12 percent slopes"
"2016MI067007"	"Low Intensity Plot: Cover"	42.80766667	-84.94371667	2016	6	8	"Michigan"	"Ionia County"	"2016MI067007"	"Eel"	"Fine-loamy, mixed, mesic Oxyaquic Dystrudepts"	13.5	"Wawasee loam, 6 to 12 percent slopes"
"2016MI067008"	"Low Intensity Plot: Cover"	42.7926	-84.99458333	2016	8	8	"Michigan"	"Ionia County"	"2016MI067008"	"Wallkill"	"Loamy, mixed, euic, mesic Terric Haplosaprists"	3.7	"Celina loam, 2 to 6 percent slopes"
"2016MI067009"	"Low Intensity Plot: Cover"	42.79323333	-84.99375	2016	8	8	"Michigan"	"Ionia County"	"2016MI067009"	"Brookston"	"Fine-loamy, mixed, active, mesic Typic Argiaquolls"	19.6	"Parkhill loam, non dense till subsoil, 0 to 2 percent slopes"
"2016MI067010"	"Low Intensity Plot: Cover"	43.04698333	-85.21718333	2016	8	8	"Michigan"	"Ionia County"	"2016MI067010"	"Palms"	"Loamy, mixed, euic, mesic Terric Haplosaprists"	14.7	"Parkhill loam, non dense till subsoil, 0 to 2 percent slopes"
"2016MI067011"	"Low Intensity Plot: Cover"	43.04603333	-85.21798333	2016	8	8	"Michigan"	"Ionia County"	"2016MI067011"	"Conover"	"Fine-loamy, mixed, active, mesic Mollic Endoaqualfs"	10.5	"Parkhill loam, non dense till subsoil, 0 to 2 percent slopes"
"2016MI075001"	"Low Intensity Plot: Cover"	42.26136667	-84.52511667	2016	9	1	"Michigan"	"Jackson County"	"2016MI075001"	"Eleva"	"Coarse-loamy, mixed, active, mesic Typic Hapludalfs"	0.6	"Eleva sandy loam, 1 to 6 percent slopes"
"2016MI075002"	"Low Intensity Plot: Cover"	42.26	-84.52926667	2016	9	1	"Michigan"	"Jackson County"	"2016MI075003"	"Abscota"	"Mixed, mesic Oxyaquic Udipsamments"	32.4	"Whalan loam, 1 to 6 percent slopes"
"2016MI075003"	"Low Intensity Plot: Cover"	42.259724	-84.529167	2016	9	1	"Michigan"	"Jackson County"	"2016MI075003"	"Abscota"	"Mixed, mesic Oxyaquic Udipsamments"	0.3	"Barry loam, 0 to 2 percent slopes"
"2016MI081002"	"Low Intensity Plot: Cover"	43.24223333	-85.66861667	2016	5	24	"Michigan"	"Kent County"	""	""	""	408.2	"Oakville fine sand, moderately wet, 0 to 4 percent slopes"
"2016MI081003"	"Low Intensity Plot: Cover"	43.24215	-85.67776667	2016	5	24	"Michigan"	"Kent County"	""	""	""	59.5	"Granby loamy fine sand, 0 to 2 percent slopes"
"2016MI081004"	"Low Intensity Plot: Cover"	43.24805	-85.67208333	2016	5	26	"Michigan"	"Kent County"	""	""	""	646.1	"Pipestone sand, 0 to 4 percent slopes"
"2016MI081005"	"Low Intensity Plot: Cover"	43.24815	-85.69026667	2016	5	26	"Michigan"	"Kent County"	""	""	""	162.3	"Granby loamy fine sand, 0 to 2 percent slopes"
"2016MI081006"	"Low Intensity Plot: Cover"	43.02416667	-85.4987	2016	6	10	"Michigan"	"Kent County"	"2016MI081006"	"Coloma"	"Mixed, mesic Lamellic Udipsamments"	24.1	"Plainfield sand, 12 to 18 percent slopes"
"2016MI081007"	"Low Intensity Plot: Cover"	43.02461667	-85.49881667	2016	6	10	"Michigan"	"Kent County"	""	""	""	70.5	"Plainfield sand, 12 to 18 percent slopes"
"2016MI081008"	"Low Intensity Plot: Cover"	43.2387	-85.53851667	2016	9	6	"Michigan"	"Kent County"	"2016MI081008"	"Conover"	"Fine-loamy, mixed, active, mesic Aquic Argiudolls"	9.1	"Filer loam, 6 to 12 percent slopes"
"2016MI081009"	"Low Intensity Plot: Cover"	43.2402	-85.54001667	2016	9	6	"Michigan"	"Kent County"	"2016MI081009"	"Pewamo"	"Fine, mixed, active, mesic Typic Argiaquolls"	13.2	"Filer loam, 6 to 12 percent slopes"
"2016MI081010"	"Low Intensity Plot: Cover"	43.24128333	-85.54071667	2016	9	6	"Michigan"	"Kent County"	"2016MI081010"	"Parkhill"	"Fine-loamy, mixed, semiactive, nonacid, mesic Mollic Epiaquepts"	10.7	"Filer loam, 6 to 12 percent slopes"
"2016MI081011"	"Low Intensity Plot: Cover"	43.2411	-85.53925	2016	9	6	"Michigan"	"Kent County"	"2016MI081011"	"Metea"	"Loamy, mixed, semiactive, mesic Arenic Hapludalfs"	5	"Ithaca loam, 1 to 6 percent slopes"
"2016MI081012"	"Low Intensity Plot: Cover"	43.05063333	-85.7354	2016	9	6	"Michigan"	"Kent County"	"2016MI081012"	"Filer"	"Fine-loamy, mixed, semiactive, mesic Haplic Glossudalfs"	11.6	"Filer loam, 2 to 6 percent slopes"
"2016MI105002"	"EPA"	44.14308333	-86.31778333	2016	9	14	"Michigan"	"Mason County"	""	""	""	56.3	"Kinross mucky fine sand"
"2016MI107001"	"Low Intensity Plot: Cover"	43.70716667	-85.28035	2016	10	5	"Michigan"	"Mecosta County"	"2016MI107001"	"Fine, mixed, mesic Typic Endoaquepts"	"Fine, mixed, mesic Typic Endoaquepts"	1.4	"Remus sandy loam, 12 to 18 percent slopes"
"2016MI107002"	"Low Intensity Plot: Cover"	43.70621667	-85.28201667	2016	10	5	"Michigan"	"Mecosta County"	"2016MI107002"	"Corunna"	"Coarse-loamy, mixed, active, mesic Typic Endoaquolls"	1.6	"Remus sandy loam, 6 to 12 percent slopes"
"2016MI139001"	"Low Intensity Plot: Cover"	42.94438333	-86.11793333	2016	8	23	"Michigan"	"Ottawa County"	"2016MI139001"	"Granby"	"Sandy, mixed, mesic Aquic Hapludolls"	11.9	"Granby loamy sand, lake plain, 0 to 2 percent slopes"
"2016MI139002"	"Low Intensity Plot: Cover"	42.94366667	-86.11698333	2016	8	23	"Michigan"	"Ottawa County"	"2016MI139002"	"Granby"	"Sandy, mixed, mesic Typic Endoaquolls"	5	"Granby loamy sand, lake plain, 0 to 2 percent slopes"
"2016MI139003"	"Low Intensity Plot: Cover"	43.17108333	-85.7971	2016	9	25	"Michigan"	"Ottawa County"	""	""	""	70.9	"Kawkawlin loam, 2 to 6 percent slopes"
"2016MI149001"	"Low Intensity Plot: Cover"	41.902	-85.65771667	2016	6	14	"Michigan"	"Saint Joseph County"	"2016MI149001"	"Oshtemo"	"Coarse-loamy, mixed, mesic Typic Hapludalfs"	8.9	"Spinks loamy sand, 12 to 18 percent slopes"
"2016MI165001"	"ELTP"	44.22023333	-85.70068333	2016	9	21	"Michigan"	"Wexford County"	""	""	""	3820.3	"Kalkaska sand, 0 to 6 percent slopes"
"2016MI165002"	"ELTP"	44.22011667	-85.70305	2016	9	21	"Michigan"	"Wexford County"	""	""	""	3739.4	"Kalkaska sand, 0 to 6 percent slopes"
"2016MI165003"	"ELTP"	44.23088333	-85.68573333	2016	9	21	"Michigan"	"Wexford County"	""	""	""	3862.8	"Kalkaska sand, banded substratum, 0 to 6 percent slopes"
"Allegan County RCA Site: Morocco"	"Low Intensity Plot: Cover"	42.5319	-86.0464	2011	6	7	"Michigan"	"Allegan County"	""	""	""	317.7	"Morocco-Newton complex, 0 to 3 percent slopes"
"Allegan County RCA Site: Newton"	"Low Intensity Plot: Cover"	42.67005555	-85.87130555	2011	7	15	"Michigan"	"Allegan County"	""	""	""	2856.4	"Newton mucky fine sand"
"Allegan County RCA Site: Oakville"	"Low Intensity Plot: Cover"	42.55485278	-85.89639722	2011	8	10	"Michigan"	"Allegan County"	""	""	""	4706.6	"Plainfield sand, lake plain, 0 to 6 percent slopes"
"Barry County - Houghton swamp"	"Low Intensity Plot: Cover"	42.48694444	-85.23861111	2011	7	14	"Michigan"	"Barry County"	""	""	""	2366.6	"Houghton muck, 0 to 1 percent slopes"
"Barry County -Tenkink woods"	"Community"	42.48388889	-85.23583333	2011	7	14	"Michigan"	"Barry County"	""	""	""	2211.4	"Tekenink fine sandy loam, 6 to 12 percent slopes"
"Berrien County"	"Community"	42.02471667	-86.4531	2011	7	29	"Michigan"	"Berrien County"	""	""	""	2254.4	"Pewamo silt loam"
"Blandford Ravine"	"Floristic"	42.99501208	-85.74268598	2013	5	31	"Michigan"	"Kent County"	""	""	""	6221.2	"Sloan loam"
"Calhoun County County RCA Site"	"Low Intensity Plot: Cover"	42.12333564	-84.92244495	2011	6	13	"Michigan"	"Calhoun County"	""	""	""	2219.3	"Brady sandy loam, 1 to 4 percent slopes"
"Coastal Plain Marsh 1"	"Low Intensity Plot: Cover"	43.50021667	-85.792	2011	8	12	"Michigan"	"Newaygo County"	""	""	""	4941.3	"Histosols, dysic"
"Coastal Plain Marsh 2"	"Low Intensity Plot: Cover"	43.50321667	-85.80003333	2011	8	12	"Michigan"	"Newaygo County"	""	""	""	4384.9	"Histosols, dysic"
"DSP ER1"	"High Intensity Plot: Nested"	42.74583333	-85.17444444	2015	8	5	"Michigan"	"Barry County"	""	""	""	850.3	"Houghton muck, 0 to 1 percent slopes"
"DSP ER2"	"High Intensity Plot: Nested"	43.30398333	-85.75971667	2015	7	31	"Michigan"	"Newaygo County"	""	""	""	2534.7	"Adrian muck, 0 to 1 percent slopes"
"DSP ER3"	"High Intensity Plot: Nested"	42.52472222	-84.88138889	2015	8	7	"Michigan"	"Eaton County"	""	""	""	1549.6	"Houghton muck, 0 to 1 percent slopes"
"DSP RF1"	"High Intensity Plot: Nested"	42.63008333	-85.5067	2015	5	19	"Michigan"	"Barry County"	""	""	""	936	"Houghton muck, 0 to 1 percent slopes"
"DSP RF2"	"High Intensity Plot: Nested"	43.18406675	-85.34212492	2015	6	4	"Michigan"	"Kent County"	""	""	""	5042.1	"Houghton muck, 0 to 1 percent slopes"
"DSP RF3"	"High Intensity Plot: Nested"	42.7937	-84.38381667	2015	5	27	"Michigan"	"Clinton County"	""	""	""	425.8	"Houghton muck, 0 to 1 percent slopes"
"DSP RR1"	"High Intensity Plot: Nested"	43.25588333	-85.1605	2015	7	29	"Michigan"	"Montcalm County"	""	""	""	5710.6	"Rifle and Tawas peats, 0 to 2 percent slopes"
"DSP RR2"	"High Intensity Plot: Nested"	43.54433333	-85.18218333	2015	8	14	"Michigan"	"Mecosta County"	""	""	""	4682.7	"Houghton muck, 0 to 1 percent slopes"
"DSP RR3"	"High Intensity Plot: Nested"	42.68136667	-84.7211	2015	8	12	"Michigan"	"Eaton County"	"1970MI045026"	"Houghton"	"Euic, mesic Typic Haplosaprists"	48.8	"Houghton muck, 0 to 1 percent slopes"
"es20170519.01"	"Medium Intensity Plot: Strata"	42.72225	-85.18215	2017	5	19	"Michigan"	"Barry County"	"2017MI015001"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Glossudalfs"	7.5	"Capac loam, 0 to 4 percent slopes"
"es20170519.02"	"Medium Intensity Plot: Strata"	42.72071667	-85.157	2017	5	19	"Michigan"	"Barry County"	"2017MI015002"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Glossudalfs"	9.1	"Capac loam, 0 to 4 percent slopes"
"es20170519.03"	"Medium Intensity Plot: Strata"	42.73383333	-85.1653	2017	5	19	"Michigan"	"Barry County"	"2017MI015003"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Glossudalfs"	9.4	"Capac loam, 0 to 4 percent slopes"
"es20170525.01"	"Medium Intensity Plot: Strata"	43.14305	-84.90566667	2017	5	25	"Michigan"	"Montcalm County"	"2017MI117002"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Glossudalfs"	11.5	"Capac loam, 0 to 4 percent slopes"
"es20170615.01"	"Medium Intensity Plot: Strata"	42.47378333	-84.82618333	2017	6	15	"Michigan"	"Eaton County"	"2017MI045001"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Glossudalfs"	15.8	"Capac loam, 0 to 4 percent slopes"
"es20170615.02"	"Medium Intensity Plot: Strata"	42.46708333	-84.86096667	2017	6	15	"Michigan"	"Eaton County"	"2017MI045002"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Glossudalfs"	4.4	"Capac loam, 0 to 4 percent slopes"
"es20170623.01"	"General"	42.35913333	-84.8361	2017	6	23	"Michigan"	"Calhoun County"	"2017MI025001"	"Ithaca"	"Fine, mixed, active, mesic Aquic Glossudalfs"	0.7	"Blount loam, 1 to 4 percent slopes"
"es20170623.02"	"General"	42.3566	-84.83406667	2017	6	23	"Michigan"	"Calhoun County"	"2017MI025002"	"Riddles"	"Fine-loamy, mixed, active, mesic Oxyaquic Glossudalfs"	3.6	"Blount loam, 1 to 4 percent slopes"
"es20170717.01"	"Wetland Determination"	43.10096667	-84.42356667	2017	7	17	"Michigan"	"Clinton County"	"2017MI037001"	"Ceresco"	"Coarse-loamy, mixed, active, mesic Fluventic Hapludolls"	5.5	"Ceresco fine sandy loam"
"es20170717.02"	"Wetland Determination"	43.10128333	-84.42363333	2017	7	17	"Michigan"	"Clinton County"	"2017MI037002"	"Sloan"	"Fine-loamy, mixed, active, mesic Fluvaquentic Hapludolls"	9.9	"Ceresco fine sandy loam"
"es20170727.01"	"Wetland Determination"	42.58751667	-84.98263333	2017	7	27	"Michigan"	"Eaton County"	"2017MI045003"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Argiudolls"	17.8	"Parkhill loam, non dense till subsoil, 0 to 2 percent slopes"
"es20170727.02"	"Wetland Determination"	42.58761667	-84.98478333	2017	7	27	"Michigan"	"Eaton County"	"2017MI045004"	"Parkhill"	"Fine-loamy, mixed, active, mesic Mollic Epiaquepts"	14.2	"Parkhill loam, non dense till subsoil, 0 to 2 percent slopes"
"es20170727.03"	"Wetland Determination"	42.58918333	-84.98386667	2017	7	27	"Michigan"	"Eaton County"	"2017MI045005"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Hapludalfs"	42.9	"Capac-Marlette loams, 1 to 6 percent slopes"
"es20170731.01"	"Wetland Determination"	43.22628333	-85.82843333	2017	7	31	"Michigan"	"Muskegon County"	"2017MI121001"	"Sims"	"Fine-loamy, mixed, active, mesic Mollic Epiaquepts"	14.2	"Sims loam"
"es20170731.02"	"Wetland Determination"	43.22585	-85.8259	2017	7	31	"Michigan"	"Muskegon County"	"2017MI121002"	"Aurelius"	"Fine-loamy, mixed, active, mesic Histic Humaquepts"	1.7	"Sims loam"
"es20170731.03"	"Wetland Determination"	43.22703333	-85.82493333	2017	7	31	"Michigan"	"Muskegon County"	"2017MI121003"	"Palms"	"Loamy, mixed, euic, mesic Terric Haplosaprists"	5.9	"Sims loam"
"es20170731.04"	"Wetland Determination"	43.22673333	-85.82853333	2017	7	31	"Michigan"	"Muskegon County"	"2017MI121004"	"Thompsonville"	"Sandy, mixed, mesic Alfic Oxyaquic Haplorthods"	13.1	"Sims loam"
"es20170808.01"	"General"	42.59586667	-85.8138	2017	8	8	"Michigan"	"Allegan County"	"2017MI005001"	"Adrian"	"Sandy, mixed, euic, mesic Terric Haplosaprists"	12.8	"Adrian muck, 0 to 1 percent slopes"
"es20170808.02"	"General"	42.5957	-85.81178333	2017	8	8	"Michigan"	"Allegan County"	"2017MI005002"	"Thetford"	"Coarse-loamy, mixed, active, mesic Typic Glossaqualfs"	2.3	"Thetford loamy fine sand, 0 to 4 percent slopes"
"es20170823.01"	"Wetland Determination"	42.47405	-85.00288333	2017	8	23	"Michigan"	"Eaton County"	"2017MI045006"	"Parkhill"	"Coarse-loamy, mixed, semiactive, nonacid, mesic Mollic Epiaquepts"	15.1	"Capac-Marlette loams, 1 to 6 percent slopes"
"es20170823.02"	"Wetland Determination"	42.47485	-85.00173333	2017	8	23	"Michigan"	"Eaton County"	"2017MI045007"	"Capac"	"Fine-loamy, mixed, active, mesic Aquic Glossudalfs"	6	"Capac-Marlette loams, 1 to 6 percent slopes"
"es20170823.03"	"Wetland Determination"	42.48001667	-84.98778333	2017	8	23	"Michigan"	"Eaton County"	"2017MI045008"	"Palms"	"Loamy, mixed, euic, mesic Terric Haplosaprists"	4.5	"Hillsdale sandy loam, 2 to 6 percent slopes"
"es20170823.04"	"Wetland Determination"	42.48031667	-84.98643333	2017	8	23	"Michigan"	"Eaton County"	"2017MI045009"	"Conover"	"Fine-loamy, mixed, active, mesic Aquic Hapludalfs"	13.7	"Parkhill loam, non dense till subsoil, 0 to 2 percent slopes"
"es20170915.01"	"General"	43.01045	-84.80825	2017	9	15	"Michigan"	"Clinton County"	""	""	""	902.2	"Matherton loam, 0 to 3 percent slopes"
"es20180601.01"	"General"	42.62008333	-84.1051	2018	6	1	"Michigan"	"Livingston County"	""	""	""	2607.9	"Conover loam, 0 to 4 percent slopes"
"es20180608.01"	"General"	42.71981667	-84.08468333	2018	6	8	"Michigan"	"Livingston County"	""	""	""	2906.2	"Conover loam, 0 to 4 percent slopes"
"farm field"	"Wetland Determination"	43.2418	-85.63085	2016	8	24	"Michigan"	"Kent County"	""	""	""	4313.5	"Wasepi loamy sand, 0 to 4 percent slopes"
"GRR1"	"Temperature"	44.3602778	-85.6794444	2019	6	26	"Michigan"	"Wexford County"	"2019MI165001"	"Rubicon"	"Sandy, mixed, frigid Entic Haplorthods"	0	"Kalkaska sand, 12 to 40 percent slopes"
"GRR2"	"Temperature"	44.3701389	-85.7571111	2019	6	26	"Michigan"	"Wexford County"	"2019MI165002"	"Grattan"	"Sandy, mixed, mesic Entic Haplorthods"	0	"Kalkaska sand, 12 to 40 percent slopes"
"GRR5"	"Temperature"	43.68175	-85.5799722	2019	6	26	"Michigan"	"Newaygo County"	"2019MI123001"	"Isabella"	"Fine-loamy, mixed, active, frigid Haplic Glossudalfs"	0	"Grattan, banded substratum-Metea complex, 6 to 18 percent slopes"
"GRR6"	"Temperature"	43.631	-85.7725278	2019	6	26	"Michigan"	"Newaygo County"	"2019MI123002"	"Grattan"	"Sandy, mixed, mesic Entic Haplorthods"	0	"Grattan sand, banded substratum, 0 to 6 percent slopes"
"gs20180813.01"	"Wetland Determination"	42.22551389	-85.46240278	2018	8	13	"Michigan"	"Kalamazoo County"	"2018MI077001"	"Sleeth"	"Fine-loamy, mixed, active, mesic Typic Endoaqualfs"	3.5	"Sleeth loam, 0 to 3 percent slopes"
"gs20180813.02"	"Wetland Determination"	42.22554167	-85.46136389	2018	8	13	"Michigan"	"Kalamazoo County"	"2018MI077002"	"Adrian"	"Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplohemists"	4.8	"Adrian muck, 0 to 1 percent slopes"
"gs20180813.03"	"Wetland Determination"	42.22621111	-85.45951111	2018	8	13	"Michigan"	"Kalamazoo County"	"2018MI077003"	"Edwards"	"Marly, euic, mesic Limnic Haplosaprists"	5.1	"Sebewa loam, 0 to 2 percent slopes"
"gs20180816.01"	"Wetland Determination"	41.86766667	-86.14531667	2018	8	16	"Michigan"	"Cass County"	""	""	""	4049.6	"Palms muck, 0 to 1 percent slopes"
"gs20180816.02"	"Wetland Determination"	41.8689	-86.14553333	2018	8	16	"Michigan"	"Cass County"	""	""	""	4187.7	"Palms muck, 0 to 1 percent slopes"
"gs20180816.03"	"Wetland Determination"	41.8665	-86.15036667	2018	8	16	"Michigan"	"Cass County"	""	""	""	3982.9	"Palms muck, 0 to 1 percent slopes"
"gs20180816.04"	"Wetland Determination"	41.86418333	-86.15003333	2018	8	16	"Michigan"	"Cass County"	""	""	""	3723.3	"Gilford sandy loam, 0 to 2 percent slopes, gravelly subsoil"
"gs20180823.01"	"Wetland Determination"	41.81015	-86.64468333	2018	8	23	"Michigan"	"Berrien County"	""	""	""	6087.1	"Blount loam, 0 to 4 percent slopes"
"gs20180823.02"	"Wetland Determination"	41.84548333	-86.51905	2018	8	23	"Michigan"	"Berrien County"	""	""	""	4755.5	"Crosier silt loam, 0 to 4 percent slopes"
