"phase","Taxon","order","under","Plant.Symbol","Plant.Type","Nativity","Cover.Low","Cover.High","Canopy.Bottom","Canopy.Top"
"4","Rubus occidentalis",3,0.272724545481817,"RUOC","Shrub/Subshrub","Native",0,0.4,0.5,1
"4","Rosa multiflora",3,0.272559259531358,"ROMU","Shrub/Subshrub","Introduced",0,0.5,0.5,1
"4","Rosa multiflora",3,0.272559259531358,"ROMU","Shrub/Subshrub","Introduced",0,0.2,,
"4","Salix sericea",3,0.181733720679322,"SASE","Shrub/Subshrub","Native",0,0.1,0.5,2
"4","Salix sericea",3,0.181733720679322,"SASE","Shrub/Subshrub","Native",0,0.1,,
"4","Sambucus nigra",3,0.0909081818272761,"SANI4","Shrub/Subshrub","Native",0,0.1,0.5,2
"4","Sambucus racemosa",3,0.0909081818272761,"SARA2","Shrub/Subshrub","Native",0,0.1,,
"4","Toxicodendron radicans",4,0.309087818212728,"TORA2","Vine/Liana","Native",0,0.5,0,0.3
"4","Parthenocissus quinquefolia",4,0.181816363654541,"PAQU2","Vine/Liana","Native",0,0.3,0,
"4","Vitis riparia",4,0.0363632727309104,"VIRI","Vine/Liana","Native",0,0.1,1,5
"4","Phalaris arundinacea",5,62.363012733509,"PHAR3","Grass/grass-like (Graminoids)","Native",12,100,1,1.5
"4","Leersia oryzoides",5,8.45446090993636,"LEOR","Grass/grass-like (Graminoids)","Native",0,13,1,1.5
"4","Agrostis gigantea",5,5.45449090963636,"AGGI2","Grass/grass-like (Graminoids)","Introduced",0,12,0.5,0.5
"4","Poa pratensis",5,4.72722545501818,"POPR","Grass/grass-like (Graminoids)","Native",0,12,0.5,0.5
"4","Cinna arundinacea",5,4.45450090953636,"CIAR2","Grass/grass-like (Graminoids)","Native",0,7,1,1.5
"4","Glyceria striata",5,4.01814163676545,"GLST","Grass/grass-like (Graminoids)","Native",0.3,11,1,1.5
"4","Schedonorus arundinaceus",5,3.6363272730909,"SCAR7","Grass/grass-like (Graminoids)","Introduced",0,5,1,1
"4","Carex gracillima",5,1.90907181837272,"CAGR2","Grass/grass-like (Graminoids)","Native",0,3,1,1
"4","Poa trivialis",5,1.90907181837272,"POTR2","Grass/grass-like (Graminoids)","Introduced",0,3,1,1
"4","Phleum pratense",5,1.09089818192727,"PHPR3","Grass/grass-like (Graminoids)","Introduced",0,2.5,1,1
"4","Poa palustris",5,0.999990000100004,"POPA2","Grass/grass-like (Graminoids)","Native",0,1.5,1,1
"4","Carex lacustris",5,0.636357272790911,"CALA16","Grass/grass-like (Graminoids)","Native",0,1,1,1.5
"4","Carex cristatella",5,0.363632727309093,"CACR7","Grass/grass-like (Graminoids)","Native",0,0.5,0.3,0.5
"4","Scirpus atrovirens",5,0.309087818212728,"SCAT2","Grass/grass-like (Graminoids)","Native",0,0.5,1,2
"4","Carex lupulina",5,0.290906181847272,"CALU4","Grass/grass-like (Graminoids)","Native",0,0.5,1,1.5
"4","Bromus inermis",5,0.181816363654541,"BRIN2","Grass/grass-like (Graminoids)","Introduced",0,0.3,1,1.5
"4","Carex stipata",5,0.181816363654541,"CAST5","Grass/grass-like (Graminoids)","Native",0,0.3,1,1
"4","Panicum dichotomiflorum",5,0.181816363654541,"PADI","Grass/grass-like (Graminoids)","Native",0,0.3,1,1
"4","Elymus virginicus",5,0.118180636375453,"ELVI3","Grass/grass-like (Graminoids)","Native",0,0.2,0.4,1
"4","Carex intumescens",5,0.0909081818272761,"CAIN12","Grass/grass-like (Graminoids)","Native",0,0.1,1,1
"4","Carex tuckermanii",5,0.0909081818272761,"CATU2","Grass/grass-like (Graminoids)","Native",0,0.1,0,
"4","Carex vulpinoidea",5,0.0909081818272761,"CAVU2","Grass/grass-like (Graminoids)","Native",0,0.1,1,1
"4","Juncus greenei",5,0.0909081818272761,"JUGR","Grass/grass-like (Graminoids)","Native",0,0.1,0,
"4","Echinochloa crus-galli",5,0.0363632727309104,"ECCR","Grass/grass-like (Graminoids)","Introduced",0,0.1,0,
"4","Carex grayi",5,0.0272724545481773,"CAGR5","Grass/grass-like (Graminoids)","Native",0,0,0.3,0.5
"4","Carex retrorsa",5,0.0272724545481773,"CARE4","Grass/grass-like (Graminoids)","Native",0,0,0.5,1
"4","Poa compressa",5,0.0272724545481773,"POCO","Grass/grass-like (Graminoids)","Introduced",0,0,0.5,0.5
"4","Scirpus pendulus",5,0.0181816363654552,"SCPE4","Grass/grass-like (Graminoids)","Native",0,0,1,1
"4","Typha angustifolia",5,0.0181816363654552,"TYAN","Grass/grass-like (Graminoids)","Introduced",0,0,1,1.5
"4","Solidago gigantea",6,11.3635227284091,"SOGI","Forb/Herb","Native",0,30,0.5,1
"4","Solidago canadensis",6,4.09086818222727,"SOCA6","Forb/Herb","Native",0,10,0.4,1
"4","Symphyotrichum ontarionis",6,2.90906181847272,"SYON2","Forb/Herb","Native",0,6,0.4,1
"4","Impatiens capensis",6,2.81815363664545,"IMCA","Forb/Herb","Native",0,6,1,1.5
"4","Apocynum cannabinum",6,1.90907181837272,"APCA","Forb/Herb","Native",0,3,1,1
"4","Solidago altissima",6,1.6363472728909,"SOAL6","Forb/Herb","Native",0,4.5,1,1
"4","Symphyotrichum lanceolatum",6,1.6363472728909,"SYLA6","Forb/Herb","Native",0,3,0.5,1
"4","Daucus carota",6,1.36362272740909,"DACA6","Forb/Herb","Introduced",0,2,0.5,1
"4","Bidens frondosa",6,1.27271454558182,"BIFR","Forb/Herb","Native",0,2,1,1
"4","Cirsium arvense",6,1.09089818192727,"CIAR4","Forb/Herb","Introduced",0,2.5,0.5,1
"4","Ambrosia artemisiifolia",6,0.909081818272728,"AMAR2","Forb/Herb","Native",0,1.5,0,
"4","Ambrosia trifida",6,0.727265454618176,"AMTR","Forb/Herb","Native",0,1,0.5,1
"4","Boehmeria cylindrica",6,0.727265454618176,"BOCY","Forb/Herb","Native",0,1.5,1,1
"4","Epilobium coloratum",6,0.545449090963634,"EPCO","Forb/Herb","Native",0,1,1,1
"4","Urtica dioica",6,0.454540909136358,"URDI","Forb/Herb","Native",0,0.5,1,2
"4","Penthorum sedoides",6,0.272724545481817,"PESE6","Forb/Herb","Native",0,0.4,1,1
"4","Verbena urticifolia",6,0.272724545481817,"VEUR","Forb/Herb","Native",0,0.4,0,
"4","Helianthus giganteus",6,0.181816363654541,"HEGI","Forb/Herb","Native",0,0.3,0.5,1
"4","Persicaria virginiana",6,0.181816363654541,"PEVI13","Forb/Herb","Native",0,0.3,0.3,0.5
"4","Symphyotrichum puniceum",6,0.181816363654541,"SYPU","Forb/Herb","Native",0,0.3,0,
"4","Trifolium pratense",6,0.181816363654541,"TRPR2","Forb/Herb","Introduced",0,0.3,0.5,0.5
"4","Euthamia graminifolia",6,0.127271454558187,"EUGR5","Forb/Herb","Native",0,0.2,0.4,1
"4","Lythrum salicaria",6,0.118180636375453,"LYSA2","Forb/Herb","Introduced",0,0.2,0.5,1
"4","Asclepias incarnata",6,0.109089818192731,"ASIN","Forb/Herb","Native",0,0.2,1,1.5
"4","Cirsium vulgare",6,0.0909081818272761,"CIVU","Forb/Herb","Introduced",0,0.1,0.5,1
"4","Eupatorium perfoliatum",6,0.0909081818272761,"EUPE3","Forb/Herb","Native",0,0.1,0,
"4","Fragaria virginiana",6,0.0909081818272761,"FRVI","Forb/Herb","Native",0,0.1,0.1,0.3
"4","Iris virginica",6,0.0909081818272761,"IRVI","Forb/Herb","Native",0,0.1,1,1
"4","Lemna minor",6,0.0909081818272761,"LEMI3","Forb/Herb","Native",0,0.1,1,1.5
"4","Persicaria pensylvanica",6,0.0909081818272761,"PEPE19","Forb/Herb","Native",0,0.1,0,
"4","Rumex crispus",6,0.0909081818272761,"RUCR","Forb/Herb","Introduced",0,0.1,0,
"4","Verbena hastata",6,0.0909081818272761,"VEHA2","Forb/Herb","Native",0,0.1,0,
"4","Hypericum punctatum",6,0.0272724545481773,"HYPU","Forb/Herb","Native",0,0,1,1
"4","Persicaria maculosa",6,0.0272724545481773,"PEMA24","Forb/Herb","Introduced",0,0,0.5,1
"4","Physalis longifolia",6,0.0272724545481773,"PHLO4","Forb/Herb","Native",0,0,0.4,1
"4","Asclepias syriaca",6,0.0181816363654552,"ASSY","Forb/Herb","Native",0,0,0,
"4","Dipsacus fullonum",6,0.0181816363654552,"DIFU2","Forb/Herb","Introduced",0,0,0,
"4","Erigeron philadelphicus",6,0.0181816363654552,"ERPH","Forb/Herb","Native",0,0,1,1
"4","Eutrochium maculatum",6,0.0181816363654552,"EUMA9","Forb/Herb","Native",0,0,1,1.5
"4","Hesperis matronalis",6,0.0181816363654552,"HEMA3","Forb/Herb","Introduced",0,0,1,1.5
"4","Athyrium angustum",7,0.0909081818272761,"ATAN2","Fern/fern ally","Native",0,0.1,0,
"4","Onoclea sensibilis",7,0.0909081818272761,"ONSE","Fern/fern ally","Native",0,0.1,0,
"5","Acer saccharum",1,2.77775000027778,"ACSA3","Tree","Native",0,6,1,5
"5","Carpinus caroliniana",1,2.77775000027778,"CACA18","Tree","Native",0.4,7,1,5
"5","Fraxinus pennsylvanica",1,2.46442980992279,"FRPE","Tree","Native",0,4.5,1,5
"5","Fraxinus pennsylvanica",1,2.46442980992279,"FRPE","Tree","Native",0,2,0,
"5","Fagus grandifolia",1,1.14406263715137,"FAGR","Tree","Native",0,3.5,1,5
"5","Fagus grandifolia",1,1.14406263715137,"FAGR","Tree","Native",0,0.1,0,
"5","Fraxinus americana",1,0.55555000005556,"FRAM2","Tree","Native",0,1,0,
"5","Acer saccharinum",1,0.111110000011116,"ACSA2","Tree","Native",0,0.2,1,5
"5","Carya cordiformis",1,0.111110000011116,"CACO15","Tree","Native",0,0.2,1,5
"5","Hamamelis virginiana",1,0.111110000011116,"HAVI4","Tree","Native",0,0.2,1,2
"5","Prunus serotina",1,0.111110000011116,"PRSE2","Tree","Native",0,0.4,1,5
"5","Tilia americana",1,0.111110000011116,"TIAM","Tree","Native",0,0.2,1,5
"5","Carya ovata",1,0.0444440000044399,"CAOV2","Tree","Native",0,0.1,0,
"5","Cornus alternifolia",1,0.0222220000022255,"COAL2","Tree","Native",0,0,0,
"5","Ulmus americana",1,0.0222220000022255,"ULAM","Tree","Native",0,0.1,0,
"5","Acer rubrum",1,0.0111110000011072,"ACRU","Tree","Native",0,0,0,
"5","Fraxinus nigra",1,0.0111110000011072,"FRNI","Tree","Native",0,0,0,0.5
"5","Quercus macrocarpa",1,0.0111110000011072,"QUMA2","Tree","Native",0,0,0,
"5","Lonicera maackii",3,1.33332000013333,"LOMA6","Shrub/Subshrub","Introduced",0,2,0.5,2
"5","Lindera benzoin",3,0.633065276902756,"LIBE3","Shrub/Subshrub","Native",0,2,0.5,1
"5","Lindera benzoin",3,0.633065276902756,"LIBE3","Shrub/Subshrub","Native",0,0.1,,
"5","Berberis thunbergii",3,0.588697818577355,"BETH","Shrub/Subshrub","Introduced",0,0.1,0.5,2
"5","Berberis thunbergii",3,0.588697818577355,"BETH","Shrub/Subshrub","Introduced",0,1.5,,
"5","Cornus racemosa",3,0.222220000022222,"CORA6","Shrub/Subshrub","Native",0,0.3,0.5,2
"5","Rosa multiflora",3,0.15552437097851,"ROMU","Shrub/Subshrub","Introduced",0,0.3,0.5,2
"5","Rosa multiflora",3,0.15552437097851,"ROMU","Shrub/Subshrub","Introduced",0,0.1,,
"5","Sambucus racemosa",3,0.111110000011116,"SARA2","Shrub/Subshrub","Native",0,0.2,0.5,2
"5","Zanthoxylum americanum",3,0.111110000011116,"ZAAM","Shrub/Subshrub","Native",0,0.2,0.5,2
"5","Ribes cynosbati",3,0.0222220000022255,"RICY","Shrub/Subshrub","Native",0,0,0.5,2
"5","Rubus pubescens",3,0.0111110000011072,"RUPU","Shrub/Subshrub","Native",0,0,,0.1
"5","Parthenocissus quinquefolia",4,7.75918296371295,"PAQU2","Vine/Liana","Native",0,12,1,5
"5","Parthenocissus quinquefolia",4,7.75918296371295,"PAQU2","Vine/Liana","Native",0.4,7,0,
"5","Toxicodendron radicans",4,5.66043728451543,"TORA2","Vine/Liana","Native",0,14,1,5
"5","Toxicodendron radicans",4,5.66043728451543,"TORA2","Vine/Liana","Native",0,0.3,0,
"5","Euonymus obovatus",4,0.155554000015556,"EUOB8","Vine/Liana","Native",0,0.4,0,
"5","Solanum dulcamara",4,0.0333330000033327,"SODU","Vine/Liana","Introduced",0,0,0,
"5","Carex gracillima",5,0.688882000068891,"CAGR2","Grass/grass-like (Graminoids)","Native",0.2,1.5,0.1,0.3
"5","Carex rosea",5,0.666660000066666,"CARO22","Grass/grass-like (Graminoids)","Native",0,1,0,
"5","Carex swanii",5,0.666660000066666,"CASW","Grass/grass-like (Graminoids)","Native",0,1.5,0,
"5","Elymus hystrix",5,0.666660000066666,"ELHY","Grass/grass-like (Graminoids)","Native",0,1,0,
"5","Carex pensylvanica",5,0.55555000005556,"CAPE6","Grass/grass-like (Graminoids)","Native",0,1,0,
"5","Carex hirtifolia",5,0.222220000022222,"CAHI5","Grass/grass-like (Graminoids)","Native",0,0.3,0,
"5","Glyceria striata",5,0.122221000012224,"GLST","Grass/grass-like (Graminoids)","Native",0,0.3,0.1,0.3
"5","Brachyelytrum erectum",5,0.111110000011116,"BRER2","Grass/grass-like (Graminoids)","Native",0,0.2,0,
"5","Carex leptonervia",5,0.111110000011116,"CALE11","Grass/grass-like (Graminoids)","Native",0,0.2,0.5,0.5
"5","Carex normalis",5,0.111110000011116,"CANO","Grass/grass-like (Graminoids)","Native",0,0.2,1,1.5
"5","Poa compressa",5,0.111110000011116,"POCO","Grass/grass-like (Graminoids)","Introduced",0,0.2,0.5,0.5
"5","Carex bebbii",5,0.0222220000022255,"CABE2","Grass/grass-like (Graminoids)","Native",0,0,1,1
"5","Carex lupulina",5,0.0222220000022255,"CALU4","Grass/grass-like (Graminoids)","Native",0,0,1,1.5
"5","Carex intumescens",5,0.0111110000011072,"CAIN12","Grass/grass-like (Graminoids)","Native",0,0,0.3,0.5
"5","Cinna arundinacea",5,0.0111110000011072,"CIAR2","Grass/grass-like (Graminoids)","Native",0,0,0.3,0.5
"5","Poa saltuensis",5,0.0111110000011072,"POSA","Grass/grass-like (Graminoids)","Native",0,0,0.3,0.5
"5","Persicaria virginiana",6,1.83331500018333,"PEVI13","Forb/Herb","Native",0.5,5,0.1,0.3
"5","Podophyllum peltatum",6,1.69998300017,"POPE","Forb/Herb","Native",0,5,0.2,0.4
"5","Circaea canadensis",6,1.14443300011444,"CICA13","Forb/Herb","Native",0,3.5,0.1,0.2
"5","Boehmeria cylindrica",6,0.666660000066666,"BOCY","Forb/Herb","Native",0,1,1,1
"5","Impatiens capensis",6,0.333330000033338,"IMCA","Forb/Herb","Native",0,0.5,1,1.5
"5","Maianthemum canadense",6,0.233331000023329,"MACA4","Forb/Herb","Native",0,0.5,0.1,0.1
"5","Geum canadense",6,0.222220000022222,"GECA7","Forb/Herb","Native",0,0.3,1,1
"5","Arisaema triphyllum",6,0.177776000017782,"ARTR","Forb/Herb","Native",0,0.5,0.1,0.2
"5","Geranium maculatum",6,0.166665000016664,"GEMA","Forb/Herb","Native",0,0.3,0.1,0.3
"5","Maianthemum racemosum",6,0.166665000016664,"MARA7","Forb/Herb","Native",0,0.4,0.1,0.2
"5","Alliaria petiolata",6,0.155554000015556,"ALPE4","Forb/Herb","Introduced",0,0.4,0,
"5","Agrimonia gryposepala",6,0.111110000011116,"AGGR2","Forb/Herb","Native",0,0.2,1,1.5
"5","Bidens tripartita",6,0.111110000011116,"BITR","Forb/Herb","Native",0,0.2,1,1
"5","Euthamia graminifolia",6,0.111110000011116,"EUGR5","Forb/Herb","Native",0,0.2,0,
"5","Galium lanceolatum",6,0.111110000011116,"GALA3","Forb/Herb","Native",0,0.2,0,
"5","Geranium robertianum",6,0.111110000011116,"GERO","Forb/Herb","Native",0,0.2,0,
"5","Nabalus albus",6,0.111110000011116,"NAAL2","Forb/Herb","Native",0,0.2,0,
"5","Pilea pumila",6,0.111110000011116,"PIPU2","Forb/Herb","Native",0,0.2,0,
"5","Polygonatum pubescens",6,0.111110000011116,"POPU4","Forb/Herb","Native",0,0.2,0,
"5","Potentilla simplex",6,0.111110000011116,"POSI2","Forb/Herb","Native",0,0.2,0,
"5","Ranunculus hispidus",6,0.111110000011116,"RAHI","Forb/Herb","Native",0,0.2,1,1
"5","Amphicarpaea bracteata",6,0.0555550000055582,"AMBR2","Forb/Herb","Native",0,0.1,0.3,0.5
"5","Laportea canadensis",6,0.0555550000055582,"LACA3","Forb/Herb","Native",0,0.1,0,
"5","Allium tricoccum",6,0.0333330000033327,"ALTR3","Forb/Herb","Native",0,0,0,
"5","Epilobium ciliatum",6,0.0333330000033327,"EPCI","Forb/Herb","Native",0,0,0,
"5","Symphyotrichum lateriflorum",6,0.0333330000033327,"SYLA4","Forb/Herb","Native",0,0,0,
"5","Epifagus virginiana",6,0.0222220000022255,"EPVI2","Forb/Herb","Native",0,0,0,
"5","Hackelia virginiana",6,0.0222220000022255,"HAVI2","Forb/Herb","Native",0,0,0,
"5","Chelone glabra",6,0.0111110000011072,"CHGL2","Forb/Herb","Native",0,0,0.1,0.2
"5","Dioscorea villosa",6,0.0111110000011072,"DIVI4","Forb/Herb","Native",0,0,0.1,0.2
"5","Mitchella repens",6,0.0111110000011072,"MIRE","Forb/Herb","Native",0,0,0.1,0.1
"5","Uvularia grandiflora",6,0.0111110000011072,"UVGR","Forb/Herb","Native",0,0,0.1,0.2
"5","Osmundastrum cinnamomeum",7,1.11110000011111,"OSCI2","Fern/fern ally","Native",0,1.5,0.5,1
"5","Athyrium angustum",7,0.333330000033338,"ATAN2","Fern/fern ally","Native",0,0.5,0.3,0.5
"5","Dryopteris carthusiana",7,0.188887000018889,"DRCA11","Fern/fern ally","Native",0,0.5,0,
"5","Polystichum acrostichoides",7,0.144443000014449,"POAC4","Fern/fern ally","Native",0,0.3,0,
"5","Osmunda claytoniana",7,0.111110000011116,"OSCL2","Fern/fern ally","Native",0,0.2,1,1
"5","Pteridium aquilinum",7,0.111110000011116,"PTAQ","Fern/fern ally","Native",0,0.2,1,1.5
"5","Adiantum pedatum",7,0.0555550000055582,"ADPE","Fern/fern ally","Native",0,0.1,0.3,0.5
"5","Athyrium filix-femina",7,0.0222220000022255,"ATFI","Fern/fern ally","Native",0,0,1,1
"5","Onoclea sensibilis",7,0.0111110000011072,"ONSE","Fern/fern ally","Native",0,0,0.3,0.5
"5","Osmunda spectabilis",7,0.0111110000011072,"OSSP3","Fern/fern ally","Native",0,0,0.3,0.5
"6","Fraxinus pennsylvanica",1,12.1665450012167,"FRPE","Tree","Native",0.5,20,1,5
"6","Carpinus caroliniana",1,2.66664000026666,"CACA18","Tree","Native",0,9,1,5
"6","Ulmus americana",1,1.16665500011667,"ULAM","Tree","Native",0,2,1,5
"6","Carya cordiformis",1,0.777770000077782,"CACO15","Tree","Native",0,1.5,1,5
"6","Acer nigrum",1,0.666660000066666,"ACNI5","Tree","Native",0,1,1,5
"6","Fraxinus nigra",1,0.666660000066666,"FRNI","Tree","Native",0,1,1,5
"6","Celtis occidentalis",1,0.333330000033338,"CEOC","Tree","Native",0,0.5,1,5
"6","Carya ovata",1,0.222220000022222,"CAOV2","Tree","Native",0,0.5,1,5
"6","Liriodendron tulipifera",1,0.222096545701211,"LITU","Tree","Native",0,0.2,1,5
"6","Liriodendron tulipifera",1,0.222096545701211,"LITU","Tree","Native",0,0.2,0,
"6","Acer saccharum",1,0.111110000011116,"ACSA3","Tree","Native",0,0.2,1,5
"6","Prunus serotina",1,0.111110000011116,"PRSE2","Tree","Native",0,0.4,0,
"6","Quercus rubra",1,0.111110000011116,"QURU","Tree","Native",0,0.3,0,
"6","Rosa multiflora",3,8.99991000089999,"ROMU","Shrub/Subshrub","Introduced",2,25,0.5,1
"6","Rubus occidentalis",3,2.77775000027778,"RUOC","Shrub/Subshrub","Native",0,4,0.5,2
